=== robustness runs/abl5_none/seed0 ===
elastic_transform s2: err 0.7700
elastic_transform s3: err 0.7752
elastic_transform s4: err 0.7826
elastic_transform s5: err 0.7841
pixelate s1: err 0.7443
pixelate s2: err 0.7456
pixelate s3: err 0.7460
pixelate s4: err 0.7520
pixelate s5: err 0.7586
jpeg_compression s1: err 0.7530
jpeg_compression s2: err 0.7605
jpeg_compression s3: err 0.7648
jpeg_compression s4: err 0.7697
jpeg_compression s5: err 0.7729
clean err 0.7416 -> runs/abl5_none/seed2/robustness.json
=== robustness runs/abl5_gaboronly_calib/seed0 ===
gaussian_noise s1: err 0.7435
gaussian_noise s2: err 0.7674
gaussian_noise s3: err 0.8019
gaussian_noise s4: err 0.8208
gaussian_noise s5: err 0.8423
shot_noise s1: err 0.7348
shot_noise s2: err 0.7442
shot_noise s3: err 0.7795
shot_noise s4: err 0.7954
shot_noise s5: err 0.8303
impulse_noise s1: err 0.7520
impulse_noise s2: err 0.7861
impulse_noise s3: err 0.8263
impulse_noise s4: err 0.8856
impulse_noise s5: err 0.9130
defocus_blur s1: err 0.7300
defocus_blur s2: err 0.7404
defocus_blur s3: err 0.7597
defocus_blur s4: err 0.7737
defocus_blur s5: err 0.8214
glass_blur s1: err 0.7506
glass_blur s2: err 0.7510
glass_blur s3: err 0.7581
glass_blur s4: err 0.7737
glass_blur s5: err 0.7815
motion_blur s1: err 0.7476
motion_blur s2: err 0.7730
motion_blur s3: err 0.7992
motion_blur s4: err 0.7997
motion_blur s5: err 0.8269
zoom_blur s1: err 0.7590
zoom_blur s2: err 0.7645
zoom_blur s3: err 0.7772
zoom_blur s4: err 0.7896
zoom_blur s5: err 0.8072
snow s1: err 0.7474
snow s2: err 0.7866
snow s3: err 0.8077
snow s4: err 0.8416
snow s5: err 0.8662
frost s1: err 0.7810
frost s2: err 0.8292
frost s3: err 0.8629
frost s4: err 0.8622
frost s5: err 0.8769
fog s1: err 0.7491
fog s2: err 0.8162
fog s3: err 0.8588
fog s4: err 0.8996
fog s5: err 0.9383
brightness s1: err 0.7352
brightness s2: err 0.7490
brightness s3: err 0.7735
brightness s4: err 0.8029
brightness s5: err 0.8553
contrast s1: err 0.7670
contrast s2: err 0.8778
contrast s3: err 0.9246
contrast s4: err 0.9528
contrast s5: err 0.9729
elastic_transform s1: err 0.7519
elastic_transform s2: err 0.7537
elastic_transform s3: err 0.7630
elastic_transform s4: err 0.7740
elastic_transform s5: err 0.7776
pixelate s1: err 0.7275
pixelate s2: err 0.7293
pixelate s3: err 0.7310
pixelate s4: err 0.7344
pixelate s5: err 0.7475
jpeg_compression s1: err 0.7379
jpeg_compression s2: err 0.7393
jpeg_compression s3: err 0.7455
jpeg_compression s4: err 0.7470
jpeg_compression s5: err 0.7528
clean err 0.7288 -> runs/abl5_gaboronly_calib/seed0/robustness.json
=== robustness runs/abl5_gaboronly_calib/seed1 ===
gaussian_noise s1: err 0.7387
gaussian_noise s2: err 0.7588
gaussian_noise s3: err 0.7963
gaussian_noise s4: err 0.8134
gaussian_noise s5: err 0.8295
shot_noise s1: err 0.7324
shot_noise s2: err 0.7415
shot_noise s3: err 0.7723
shot_noise s4: err 0.7917
shot_noise s5: err 0.8193
impulse_noise s1: err 0.7475
impulse_noise s2: err 0.7827
impulse_noise s3: err 0.8118
impulse_noise s4: err 0.8687
impulse_noise s5: err 0.9024
defocus_blur s1: err 0.7276
defocus_blur s2: err 0.7401
defocus_blur s3: err 0.7576
defocus_blur s4: err 0.7748
defocus_blur s5: err 0.8218
glass_blur s1: err 0.7504
glass_blur s2: err 0.7508
glass_blur s3: err 0.7591
glass_blur s4: err 0.7769
glass_blur s5: err 0.7816
motion_blur s1: err 0.7470
motion_blur s2: err 0.7729
motion_blur s3: err 0.8011
motion_blur s4: err 0.8033
motion_blur s5: err 0.8312
zoom_blur s1: err 0.7580
zoom_blur s2: err 0.7649
zoom_blur s3: err 0.7778
zoom_blur s4: err 0.7882
zoom_blur s5: err 0.8057
snow s1: err 0.7443
snow s2: err 0.7872
snow s3: err 0.8055
snow s4: err 0.8411
snow s5: err 0.8637
frost s1: err 0.7809
frost s2: err 0.8260
frost s3: err 0.8626
frost s4: err 0.8557
frost s5: err 0.8756
fog s1: err 0.7497
fog s2: err 0.8199
fog s3: err 0.8629
fog s4: err 0.8984
fog s5: err 0.9382
brightness s1: err 0.7330
brightness s2: err 0.7491
brightness s3: err 0.7741
brightness s4: err 0.7973
brightness s5: err 0.8493
contrast s1: err 0.7698
contrast s2: err 0.8837
contrast s3: err 0.9249
contrast s4: err 0.9563
contrast s5: err 0.9767
elastic_transform s1: err 0.7553
elastic_transform s2: err 0.7549
elastic_transform s3: err 0.7616
elastic_transform s4: err 0.7755
elastic_transform s5: err 0.7823
pixelate s1: err 0.7308
pixelate s2: err 0.7336
pixelate s3: err 0.7320
pixelate s4: err 0.7403
pixelate s5: err 0.7489
jpeg_compression s1: err 0.7379
jpeg_compression s2: err 0.7404
jpeg_compression s3: err 0.7457
jpeg_compression s4: err 0.7479
jpeg_compression s5: err 0.7507
clean err 0.7290 -> runs/abl5_gaboronly_calib/seed1/robustness.json
=== robustness runs/abl5_gaboronly_calib/seed2 ===
gaussian_noise s1: err 0.7395
gaussian_noise s2: err 0.7652
gaussian_noise s3: err 0.8016
gaussian_noise s4: err 0.8234
gaussian_noise s5: err 0.8391
shot_noise s1: err 0.7335
shot_noise s2: err 0.7435
shot_noise s3: err 0.7804
shot_noise s4: err 0.7979
shot_noise s5: err 0.8284
impulse_noise s1: err 0.7463
impulse_noise s2: err 0.7836
impulse_noise s3: err 0.8256
impulse_noise s4: err 0.8756
impulse_noise s5: err 0.9086
defocus_blur s1: err 0.7282
defocus_blur s2: err 0.7412
defocus_blur s3: err 0.7599
defocus_blur s4: err 0.7774
defocus_blur s5: err 0.8269
glass_blur s1: err 0.7472
glass_blur s2: err 0.7494
glass_blur s3: err 0.7574
glass_blur s4: err 0.7777
glass_blur s5: err 0.7829
motion_blur s1: err 0.7493
motion_blur s2: err 0.7768
motion_blur s3: err 0.8054
motion_blur s4: err 0.8043
motion_blur s5: err 0.8348
zoom_blur s1: err 0.7620
zoom_blur s2: err 0.7678
zoom_blur s3: err 0.7816
zoom_blur s4: err 0.7905
zoom_blur s5: err 0.8084
snow s1: err 0.7405
snow s2: err 0.7827
snow s3: err 0.8054
snow s4: err 0.8404
snow s5: err 0.8629
frost s1: err 0.7768
frost s2: err 0.8238
frost s3: err 0.8586
frost s4: err 0.8554
frost s5: err 0.8772
fog s1: err 0.7482
fog s2: err 0.8191
fog s3: err 0.8657
fog s4: err 0.9043
fog s5: err 0.9402
brightness s1: err 0.7351
brightness s2: err 0.7513
brightness s3: err 0.7735
brightness s4: err 0.7962
brightness s5: err 0.8500
contrast s1: err 0.7693
contrast s2: err 0.8868
contrast s3: err 0.9282
contrast s4: err 0.9590
contrast s5: err 0.9766
elastic_transform s1: err 0.7566
elastic_transform s2: err 0.7526
elastic_transform s3: err 0.7625
elastic_transform s4: err 0.7738
elastic_transform s5: err 0.7778
pixelate s1: err 0.7282
pixelate s2: err 0.7284
pixelate s3: err 0.7320
pixelate s4: err 0.7373
pixelate s5: err 0.7512
jpeg_compression s1: err 0.7368
jpeg_compression s2: err 0.7404
jpeg_compression s3: err 0.7445
jpeg_compression s4: err 0.7449
jpeg_compression s5: err 0.7461
clean err 0.7279 -> runs/abl5_gaboronly_calib/seed2/robustness.json
=== robustness runs/abl5_learned/seed0 ===
gaussian_noise s1: err 0.7924
gaussian_noise s2: err 0.7912
gaussian_noise s3: err 0.7924
gaussian_noise s4: err 0.7940
gaussian_noise s5: err 0.7977
shot_noise s1: err 0.7890
shot_noise s2: err 0.7921
shot_noise s3: err 0.7907
shot_noise s4: err 0.7937
shot_noise s5: err 0.7994
impulse_noise s1: err 0.7887
impulse_noise s2: err 0.7954
impulse_noise s3: err 0.7985
impulse_noise s4: err 0.8038
impulse_noise s5: err 0.8126
defocus_blur s1: err 0.7897
defocus_blur s2: err 0.7913
defocus_blur s3: err 0.7931
defocus_blur s4: err 0.7938
defocus_blur s5: err 0.7963
glass_blur s1: err 0.7948
glass_blur s2: err 0.7935
glass_blur s3: err 0.7944
glass_blur s4: err 0.7982
glass_blur s5: err 0.8003
motion_blur s1: err 0.7912
motion_blur s2: err 0.7940
motion_blur s3: err 0.7977
motion_blur s4: err 0.7976
motion_blur s5: err 0.8033
zoom_blur s1: err 0.7937
zoom_blur s2: err 0.7929
zoom_blur s3: err 0.7932
zoom_blur s4: err 0.7939
zoom_blur s5: err 0.7965
snow s1: err 0.7998
snow s2: err 0.8232
snow s3: err 0.8305
snow s4: err 0.8632
snow s5: err 0.8887
frost s1: err 0.8381
frost s2: err 0.8775
frost s3: err 0.8966
frost s4: err 0.8956
frost s5: err 0.9098
fog s1: err 0.8114
fog s2: err 0.8698
fog s3: err 0.9062
fog s4: err 0.9320
fog s5: err 0.9587
brightness s1: err 0.7986
brightness s2: err 0.8159
brightness s3: err 0.8378
brightness s4: err 0.8605
brightness s5: err 0.8962
contrast s1: err 0.8246
contrast s2: err 0.9114
contrast s3: err 0.9393
contrast s4: err 0.9563
contrast s5: err 0.9710
elastic_transform s1: err 0.7990
elastic_transform s2: err 0.7949
elastic_transform s3: err 0.7968
elastic_transform s4: err 0.7965
elastic_transform s5: err 0.7988
pixelate s1: err 0.7887
pixelate s2: err 0.7911
pixelate s3: err 0.7924
pixelate s4: err 0.7917
pixelate s5: err 0.7940
jpeg_compression s1: err 0.7942
jpeg_compression s2: err 0.7939
jpeg_compression s3: err 0.7945
jpeg_compression s4: err 0.7978
jpeg_compression s5: err 0.7972
clean err 0.7898 -> runs/abl5_learned/seed0/robustness.json
=== robustness runs/abl5_learned/seed1 ===
gaussian_noise s1: err 0.7898
gaussian_noise s2: err 0.7911
gaussian_noise s3: err 0.7943
gaussian_noise s4: err 0.8003
gaussian_noise s5: err 0.8004
shot_noise s1: err 0.7892
shot_noise s2: err 0.7911
shot_noise s3: err 0.7923
shot_noise s4: err 0.7936
shot_noise s5: err 0.8005
impulse_noise s1: err 0.7897
impulse_noise s2: err 0.7948
impulse_noise s3: err 0.7978
impulse_noise s4: err 0.8106
impulse_noise s5: err 0.8223
defocus_blur s1: err 0.7886
defocus_blur s2: err 0.7899
defocus_blur s3: err 0.7918
defocus_blur s4: err 0.7929
defocus_blur s5: err 0.7990
glass_blur s1: err 0.7903
glass_blur s2: err 0.7928
glass_blur s3: err 0.7911
glass_blur s4: err 0.7975
glass_blur s5: err 0.8006
motion_blur s1: err 0.7917
motion_blur s2: err 0.7962
motion_blur s3: err 0.7985
motion_blur s4: err 0.7996
motion_blur s5: err 0.8065
zoom_blur s1: err 0.7891
zoom_blur s2: err 0.7891
zoom_blur s3: err 0.7902
zoom_blur s4: err 0.7925
zoom_blur s5: err 0.7961
snow s1: err 0.7962
snow s2: err 0.8213
snow s3: err 0.8270
snow s4: err 0.8629
snow s5: err 0.8888
frost s1: err 0.8389
frost s2: err 0.8766
frost s3: err 0.8982
frost s4: err 0.8972
frost s5: err 0.9093
fog s1: err 0.8125
fog s2: err 0.8696
fog s3: err 0.9026
fog s4: err 0.9287
fog s5: err 0.9545
brightness s1: err 0.7969
brightness s2: err 0.8133
brightness s3: err 0.8347
brightness s4: err 0.8567
brightness s5: err 0.8935
