pretrain optimizer: sgd lr=0.3
pretrain epoch 1/800 loss 4.9953
pretrain epoch 10/800 loss 3.6315
pretrain epoch 20/800 loss 3.1872
pretrain epoch 30/800 loss 2.8106
pretrain epoch 40/800 loss 2.6076
pretrain epoch 50/800 loss 2.4918
pretrain epoch 60/800 loss 2.4269
pretrain epoch 70/800 loss 2.3437
pretrain epoch 80/800 loss 2.2957
pretrain epoch 90/800 loss 2.2710
pretrain epoch 100/800 loss 2.2287
pretrain epoch 110/800 loss 2.1941
pretrain epoch 120/800 loss 2.1399
pretrain epoch 130/800 loss 2.1445
pretrain epoch 140/800 loss 2.1170
pretrain epoch 150/800 loss 2.1116
pretrain epoch 160/800 loss 2.0823
pretrain epoch 170/800 loss 2.0565
pretrain epoch 180/800 loss 2.0430
pretrain epoch 190/800 loss 2.0234
pretrain epoch 200/800 loss 2.0057
pretrain epoch 210/800 loss 1.9965
pretrain epoch 220/800 loss 1.9984
pretrain epoch 230/800 loss 1.9930
pretrain epoch 240/800 loss 1.9568
pretrain epoch 250/800 loss 1.9505
pretrain epoch 260/800 loss 1.9104
pretrain epoch 270/800 loss 1.9095
pretrain epoch 280/800 loss 1.9060
pretrain epoch 290/800 loss 1.8922
pretrain epoch 300/800 loss 1.8840
pretrain epoch 310/800 loss 1.8697
pretrain epoch 320/800 loss 1.8567
pretrain epoch 330/800 loss 1.8331
pretrain epoch 340/800 loss 1.8352
pretrain epoch 350/800 loss 1.7896
pretrain epoch 360/800 loss 1.7990
pretrain epoch 370/800 loss 1.7997
pretrain epoch 380/800 loss 1.7679
pretrain epoch 390/800 loss 1.7398
pretrain epoch 400/800 loss 1.7487
pretrain epoch 410/800 loss 1.7234
pretrain epoch 420/800 loss 1.7130
pretrain epoch 430/800 loss 1.6878
pretrain epoch 440/800 loss 1.6886
pretrain epoch 450/800 loss 1.6843
pretrain epoch 460/800 loss 1.6399
pretrain epoch 470/800 loss 1.6440
pretrain epoch 480/800 loss 1.6340
pretrain epoch 490/800 loss 1.6273
pretrain epoch 500/800 loss 1.5965
pretrain epoch 510/800 loss 1.5840
pretrain epoch 520/800 loss 1.5827
pretrain epoch 530/800 loss 1.5581
pretrain epoch 540/800 loss 1.5470
pretrain epoch 550/800 loss 1.5390
pretrain epoch 560/800 loss 1.5119
pretrain epoch 570/800 loss 1.5001
pretrain epoch 580/800 loss 1.4799
pretrain epoch 590/800 loss 1.4784
pretrain epoch 600/800 loss 1.4539
pretrain epoch 610/800 loss 1.4485
pretrain epoch 620/800 loss 1.4293
pretrain epoch 630/800 loss 1.4191
pretrain epoch 640/800 loss 1.3989
pretrain epoch 650/800 loss 1.3891
pretrain epoch 660/800 loss 1.3740
pretrain epoch 670/800 loss 1.3650
pretrain epoch 680/800 loss 1.3533
pretrain epoch 690/800 loss 1.3373
pretrain epoch 700/800 loss 1.3398
pretrain epoch 710/800 loss 1.3320
pretrain epoch 720/800 loss 1.3240
pretrain epoch 730/800 loss 1.3228
pretrain epoch 740/800 loss 1.3062
pretrain epoch 750/800 loss 1.3025
pretrain epoch 760/800 loss 1.3013
pretrain epoch 770/800 loss 1.2989
pretrain epoch 780/800 loss 1.2955
pretrain epoch 790/800 loss 1.3003
pretrain epoch 800/800 loss 1.2967
saved 120 tensors (46400 steps) -> runs/simclr_pre800_c100_15pct/seed1/pretrain.pt
