pretrain optimizer: sgd lr=0.3
pretrain epoch 1/800 loss 5.1289
pretrain epoch 10/800 loss 4.0901
pretrain epoch 20/800 loss 3.7002
pretrain epoch 30/800 loss 3.3268
pretrain epoch 40/800 loss 3.1179
pretrain epoch 50/800 loss 2.9614
pretrain epoch 60/800 loss 2.7909
pretrain epoch 70/800 loss 2.6760
pretrain epoch 80/800 loss 2.5841
pretrain epoch 90/800 loss 2.5224
pretrain epoch 100/800 loss 2.4235
pretrain epoch 110/800 loss 2.3792
pretrain epoch 120/800 loss 2.3601
pretrain epoch 130/800 loss 2.3168
pretrain epoch 140/800 loss 2.2902
pretrain epoch 150/800 loss 2.2606
pretrain epoch 160/800 loss 2.2302
pretrain epoch 170/800 loss 2.2045
pretrain epoch 180/800 loss 2.1428
pretrain epoch 190/800 loss 2.1527
pretrain epoch 200/800 loss 2.1076
pretrain epoch 210/800 loss 2.0654
pretrain epoch 220/800 loss 2.0492
pretrain epoch 230/800 loss 2.0275
pretrain epoch 240/800 loss 2.0169
pretrain epoch 250/800 loss 1.9731
pretrain epoch 260/800 loss 1.9483
pretrain epoch 270/800 loss 1.9230
pretrain epoch 280/800 loss 1.8987
pretrain epoch 290/800 loss 1.8928
pretrain epoch 300/800 loss 1.8657
pretrain epoch 310/800 loss 1.8330
pretrain epoch 320/800 loss 1.8310
pretrain epoch 330/800 loss 1.7928
pretrain epoch 340/800 loss 1.7818
pretrain epoch 350/800 loss 1.7882
pretrain epoch 360/800 loss 1.7212
pretrain epoch 370/800 loss 1.7354
pretrain epoch 380/800 loss 1.7058
pretrain epoch 390/800 loss 1.6950
pretrain epoch 400/800 loss 1.6804
pretrain epoch 410/800 loss 1.6487
pretrain epoch 420/800 loss 1.6292
pretrain epoch 430/800 loss 1.6095
pretrain epoch 440/800 loss 1.5825
pretrain epoch 450/800 loss 1.5760
pretrain epoch 460/800 loss 1.5770
pretrain epoch 470/800 loss 1.5540
pretrain epoch 480/800 loss 1.5391
pretrain epoch 490/800 loss 1.5120
pretrain epoch 500/800 loss 1.5158
pretrain epoch 510/800 loss 1.5115
pretrain epoch 520/800 loss 1.4724
pretrain epoch 530/800 loss 1.4619
pretrain epoch 540/800 loss 1.4606
pretrain epoch 550/800 loss 1.4334
pretrain epoch 560/800 loss 1.4159
pretrain epoch 570/800 loss 1.4139
pretrain epoch 580/800 loss 1.3828
pretrain epoch 590/800 loss 1.3713
pretrain epoch 600/800 loss 1.3494
pretrain epoch 610/800 loss 1.3575
pretrain epoch 620/800 loss 1.3505
pretrain epoch 630/800 loss 1.3278
pretrain epoch 640/800 loss 1.3344
pretrain epoch 650/800 loss 1.3046
pretrain epoch 660/800 loss 1.3040
pretrain epoch 670/800 loss 1.3026
pretrain epoch 680/800 loss 1.2932
pretrain epoch 690/800 loss 1.2840
pretrain epoch 700/800 loss 1.2794
pretrain epoch 710/800 loss 1.2727
pretrain epoch 720/800 loss 1.2753
pretrain epoch 730/800 loss 1.2797
pretrain epoch 740/800 loss 1.2633
pretrain epoch 750/800 loss 1.2684
pretrain epoch 760/800 loss 1.2553
pretrain epoch 770/800 loss 1.2697
pretrain epoch 780/800 loss 1.2636
pretrain epoch 790/800 loss 1.2527
pretrain epoch 800/800 loss 1.2473
saved 120 tensors (21600 steps) -> runs/simclr_pre800_c100_7pct/seed1/pretrain.pt
