pretrain optimizer: adamw lr=0.001
pretrain epoch 1/800 loss 4.9978
pretrain epoch 10/800 loss 3.8441
pretrain epoch 20/800 loss 3.4424
pretrain epoch 30/800 loss 3.3259
pretrain epoch 40/800 loss 3.1788
pretrain epoch 50/800 loss 3.0800
pretrain epoch 60/800 loss 2.9465
pretrain epoch 70/800 loss 2.8872
pretrain epoch 80/800 loss 2.8133
pretrain epoch 90/800 loss 2.7740
pretrain epoch 100/800 loss 2.6826
pretrain epoch 110/800 loss 2.6510
pretrain epoch 120/800 loss 2.6029
pretrain epoch 130/800 loss 2.5643
pretrain epoch 140/800 loss 2.5153
pretrain epoch 150/800 loss 2.4813
pretrain epoch 160/800 loss 2.4512
pretrain epoch 170/800 loss 2.4380
pretrain epoch 180/800 loss 2.4010
pretrain epoch 190/800 loss 2.3605
pretrain epoch 200/800 loss 2.3533
pretrain epoch 210/800 loss 2.3008
pretrain epoch 220/800 loss 2.3090
pretrain epoch 230/800 loss 2.2794
pretrain epoch 240/800 loss 2.2426
pretrain epoch 250/800 loss 2.2293
pretrain epoch 260/800 loss 2.1923
pretrain epoch 270/800 loss 2.2105
pretrain epoch 280/800 loss 2.1856
pretrain epoch 290/800 loss 2.1422
pretrain epoch 300/800 loss 2.1152
pretrain epoch 310/800 loss 2.1047
pretrain epoch 320/800 loss 2.1020
pretrain epoch 330/800 loss 2.0637
pretrain epoch 340/800 loss 2.0512
pretrain epoch 350/800 loss 2.0311
pretrain epoch 360/800 loss 2.0204
pretrain epoch 370/800 loss 2.0182
pretrain epoch 380/800 loss 2.0015
pretrain epoch 390/800 loss 1.9781
pretrain epoch 400/800 loss 1.9614
pretrain epoch 410/800 loss 1.9531
pretrain epoch 420/800 loss 1.9337
pretrain epoch 430/800 loss 1.9374
pretrain epoch 440/800 loss 1.9146
pretrain epoch 450/800 loss 1.8938
pretrain epoch 460/800 loss 1.8553
pretrain epoch 470/800 loss 1.8646
pretrain epoch 480/800 loss 1.8373
pretrain epoch 490/800 loss 1.8279
pretrain epoch 500/800 loss 1.8323
pretrain epoch 510/800 loss 1.8194
pretrain epoch 520/800 loss 1.7871
pretrain epoch 530/800 loss 1.7931
pretrain epoch 540/800 loss 1.7761
pretrain epoch 550/800 loss 1.7845
pretrain epoch 560/800 loss 1.7475
pretrain epoch 570/800 loss 1.7539
pretrain epoch 580/800 loss 1.7350
pretrain epoch 590/800 loss 1.7284
pretrain epoch 600/800 loss 1.7255
pretrain epoch 610/800 loss 1.7033
pretrain epoch 620/800 loss 1.6992
pretrain epoch 630/800 loss 1.6901
pretrain epoch 640/800 loss 1.6959
pretrain epoch 650/800 loss 1.6812
pretrain epoch 660/800 loss 1.6841
pretrain epoch 670/800 loss 1.6791
pretrain epoch 680/800 loss 1.6739
pretrain epoch 690/800 loss 1.6601
pretrain epoch 700/800 loss 1.6611
pretrain epoch 710/800 loss 1.6609
pretrain epoch 720/800 loss 1.6446
pretrain epoch 730/800 loss 1.6483
pretrain epoch 740/800 loss 1.6356
pretrain epoch 750/800 loss 1.6428
pretrain epoch 760/800 loss 1.6505
pretrain epoch 770/800 loss 1.6519
pretrain epoch 780/800 loss 1.6409
pretrain epoch 790/800 loss 1.6475
pretrain epoch 800/800 loss 1.6513
saved 150 tensors (31200 steps) -> runs/simclr_pre800_vit_10pct/seed0/pretrain.pt
