pretrain optimizer: adamw lr=0.001
pretrain epoch 1/800 loss 4.7442
pretrain epoch 10/800 loss 2.9651
pretrain epoch 20/800 loss 2.6776
pretrain epoch 30/800 loss 2.5269
pretrain epoch 40/800 loss 2.4238
pretrain epoch 50/800 loss 2.3358
pretrain epoch 60/800 loss 2.2675
pretrain epoch 70/800 loss 2.2051
pretrain epoch 80/800 loss 2.1554
pretrain epoch 90/800 loss 2.1192
pretrain epoch 100/800 loss 2.0966
pretrain epoch 110/800 loss 2.0781
pretrain epoch 120/800 loss 2.0493
pretrain epoch 130/800 loss 2.0298
pretrain epoch 140/800 loss 2.0076
pretrain epoch 150/800 loss 2.0008
pretrain epoch 160/800 loss 1.9962
pretrain epoch 170/800 loss 1.9775
pretrain epoch 180/800 loss 1.9580
pretrain epoch 190/800 loss 1.9483
pretrain epoch 200/800 loss 1.9380
pretrain epoch 210/800 loss 1.9320
pretrain epoch 220/800 loss 1.9176
pretrain epoch 230/800 loss 1.9021
pretrain epoch 240/800 loss 1.8981
pretrain epoch 250/800 loss 1.8897
pretrain epoch 260/800 loss 1.8887
pretrain epoch 270/800 loss 1.8756
pretrain epoch 280/800 loss 1.8653
pretrain epoch 290/800 loss 1.8631
pretrain epoch 300/800 loss 1.8522
pretrain epoch 310/800 loss 1.8426
pretrain epoch 320/800 loss 1.8314
pretrain epoch 330/800 loss 1.8257
pretrain epoch 340/800 loss 1.8263
pretrain epoch 350/800 loss 1.8071
pretrain epoch 360/800 loss 1.8053
pretrain epoch 370/800 loss 1.7930
pretrain epoch 380/800 loss 1.7941
pretrain epoch 390/800 loss 1.7825
pretrain epoch 400/800 loss 1.7765
pretrain epoch 410/800 loss 1.7659
pretrain epoch 420/800 loss 1.7620
pretrain epoch 430/800 loss 1.7564
pretrain epoch 440/800 loss 1.7438
pretrain epoch 450/800 loss 1.7339
pretrain epoch 460/800 loss 1.7313
pretrain epoch 470/800 loss 1.7241
pretrain epoch 480/800 loss 1.7142
pretrain epoch 490/800 loss 1.7019
pretrain epoch 500/800 loss 1.6923
pretrain epoch 510/800 loss 1.6879
pretrain epoch 520/800 loss 1.6871
pretrain epoch 530/800 loss 1.6747
pretrain epoch 540/800 loss 1.6685
pretrain epoch 550/800 loss 1.6599
pretrain epoch 560/800 loss 1.6495
pretrain epoch 570/800 loss 1.6367
pretrain epoch 580/800 loss 1.6343
pretrain epoch 590/800 loss 1.6263
pretrain epoch 600/800 loss 1.6193
pretrain epoch 610/800 loss 1.6190
pretrain epoch 620/800 loss 1.6090
pretrain epoch 630/800 loss 1.6071
pretrain epoch 640/800 loss 1.5924
pretrain epoch 650/800 loss 1.5888
pretrain epoch 660/800 loss 1.5839
pretrain epoch 670/800 loss 1.5702
pretrain epoch 680/800 loss 1.5705
pretrain epoch 690/800 loss 1.5625
pretrain epoch 700/800 loss 1.5621
pretrain epoch 710/800 loss 1.5531
pretrain epoch 720/800 loss 1.5459
pretrain epoch 730/800 loss 1.5475
pretrain epoch 740/800 loss 1.5475
pretrain epoch 750/800 loss 1.5428
pretrain epoch 760/800 loss 1.5395
pretrain epoch 770/800 loss 1.5388
pretrain epoch 780/800 loss 1.5419
pretrain epoch 790/800 loss 1.5417
pretrain epoch 800/800 loss 1.5370
saved 150 tensors (156000 steps) -> runs/simclr_pre800_vit_tin_25pct/seed1/pretrain.pt
