pretrain optimizer: adamw lr=0.001
pretrain epoch 1/800 loss 4.8071
pretrain epoch 10/800 loss 2.9683
pretrain epoch 20/800 loss 2.6488
pretrain epoch 30/800 loss 2.5178
pretrain epoch 40/800 loss 2.3993
pretrain epoch 50/800 loss 2.3081
pretrain epoch 60/800 loss 2.2462
pretrain epoch 70/800 loss 2.1872
pretrain epoch 80/800 loss 2.1426
pretrain epoch 90/800 loss 2.1244
pretrain epoch 100/800 loss 2.0807
pretrain epoch 110/800 loss 2.0708
pretrain epoch 120/800 loss 2.0471
pretrain epoch 130/800 loss 2.0276
pretrain epoch 140/800 loss 2.0129
pretrain epoch 150/800 loss 2.0079
pretrain epoch 160/800 loss 1.9780
pretrain epoch 170/800 loss 1.9736
pretrain epoch 180/800 loss 1.9540
pretrain epoch 190/800 loss 1.9499
pretrain epoch 200/800 loss 1.9360
pretrain epoch 210/800 loss 1.9242
pretrain epoch 220/800 loss 1.9108
pretrain epoch 230/800 loss 1.9058
pretrain epoch 240/800 loss 1.9059
pretrain epoch 250/800 loss 1.8876
pretrain epoch 260/800 loss 1.8809
pretrain epoch 270/800 loss 1.8719
pretrain epoch 280/800 loss 1.8695
pretrain epoch 290/800 loss 1.8504
pretrain epoch 300/800 loss 1.8514
pretrain epoch 310/800 loss 1.8431
pretrain epoch 320/800 loss 1.8369
pretrain epoch 330/800 loss 1.8303
pretrain epoch 340/800 loss 1.8175
pretrain epoch 350/800 loss 1.8131
pretrain epoch 360/800 loss 1.8053
pretrain epoch 370/800 loss 1.8013
pretrain epoch 380/800 loss 1.7923
pretrain epoch 390/800 loss 1.7882
pretrain epoch 400/800 loss 1.7769
pretrain epoch 410/800 loss 1.7651
pretrain epoch 420/800 loss 1.7561
pretrain epoch 430/800 loss 1.7520
pretrain epoch 440/800 loss 1.7474
pretrain epoch 450/800 loss 1.7366
pretrain epoch 460/800 loss 1.7310
pretrain epoch 470/800 loss 1.7283
pretrain epoch 480/800 loss 1.7183
pretrain epoch 490/800 loss 1.7073
pretrain epoch 500/800 loss 1.6992
pretrain epoch 510/800 loss 1.6969
pretrain epoch 520/800 loss 1.6874
pretrain epoch 530/800 loss 1.6730
pretrain epoch 540/800 loss 1.6722
pretrain epoch 550/800 loss 1.6645
pretrain epoch 560/800 loss 1.6521
pretrain epoch 570/800 loss 1.6488
pretrain epoch 580/800 loss 1.6426
pretrain epoch 590/800 loss 1.6366
pretrain epoch 600/800 loss 1.6254
pretrain epoch 610/800 loss 1.6169
pretrain epoch 620/800 loss 1.6127
pretrain epoch 630/800 loss 1.6040
pretrain epoch 640/800 loss 1.5967
pretrain epoch 650/800 loss 1.5924
pretrain epoch 660/800 loss 1.5876
pretrain epoch 670/800 loss 1.5836
pretrain epoch 680/800 loss 1.5752
pretrain epoch 690/800 loss 1.5670
pretrain epoch 700/800 loss 1.5670
pretrain epoch 710/800 loss 1.5594
pretrain epoch 720/800 loss 1.5577
pretrain epoch 730/800 loss 1.5531
pretrain epoch 740/800 loss 1.5515
pretrain epoch 750/800 loss 1.5485
pretrain epoch 760/800 loss 1.5480
pretrain epoch 770/800 loss 1.5450
pretrain epoch 780/800 loss 1.5463
pretrain epoch 790/800 loss 1.5427
pretrain epoch 800/800 loss 1.5441
saved 150 tensors (156000 steps) -> runs/simclr_pre800_vit_tin_25pct/seed2/pretrain.pt
