pretrain optimizer: sgd lr=0.3
pretrain epoch 1/800 loss 5.0153
pretrain epoch 10/800 loss 4.1514
pretrain epoch 20/800 loss 3.5231
pretrain epoch 30/800 loss 3.3227
pretrain epoch 40/800 loss 3.1202
pretrain epoch 50/800 loss 2.9551
pretrain epoch 60/800 loss 2.8286
pretrain epoch 70/800 loss 2.7281
pretrain epoch 80/800 loss 2.6148
pretrain epoch 90/800 loss 2.5265
pretrain epoch 100/800 loss 2.4707
pretrain epoch 110/800 loss 2.4042
pretrain epoch 120/800 loss 2.3573
pretrain epoch 130/800 loss 2.3011
pretrain epoch 140/800 loss 2.3060
pretrain epoch 150/800 loss 2.2437
pretrain epoch 160/800 loss 2.2302
pretrain epoch 170/800 loss 2.1912
pretrain epoch 180/800 loss 2.1614
pretrain epoch 190/800 loss 2.1333
pretrain epoch 200/800 loss 2.1044
pretrain epoch 210/800 loss 2.0716
pretrain epoch 220/800 loss 2.0719
pretrain epoch 230/800 loss 2.0314
pretrain epoch 240/800 loss 1.9915
pretrain epoch 250/800 loss 1.9903
pretrain epoch 260/800 loss 1.9655
pretrain epoch 270/800 loss 1.9488
pretrain epoch 280/800 loss 1.9076
pretrain epoch 290/800 loss 1.8719
pretrain epoch 300/800 loss 1.8589
pretrain epoch 310/800 loss 1.8473
pretrain epoch 320/800 loss 1.8136
pretrain epoch 330/800 loss 1.8148
pretrain epoch 340/800 loss 1.7882
pretrain epoch 350/800 loss 1.7713
pretrain epoch 360/800 loss 1.7472
pretrain epoch 370/800 loss 1.7304
pretrain epoch 380/800 loss 1.6996
pretrain epoch 390/800 loss 1.6877
pretrain epoch 400/800 loss 1.6456
pretrain epoch 410/800 loss 1.6568
pretrain epoch 420/800 loss 1.6446
pretrain epoch 430/800 loss 1.6048
pretrain epoch 440/800 loss 1.6001
pretrain epoch 450/800 loss 1.5697
pretrain epoch 460/800 loss 1.5522
pretrain epoch 470/800 loss 1.5506
pretrain epoch 480/800 loss 1.5265
pretrain epoch 490/800 loss 1.5135
pretrain epoch 500/800 loss 1.5036
pretrain epoch 510/800 loss 1.4809
pretrain epoch 520/800 loss 1.4692
pretrain epoch 530/800 loss 1.4619
pretrain epoch 540/800 loss 1.4525
pretrain epoch 550/800 loss 1.4266
pretrain epoch 560/800 loss 1.4151
pretrain epoch 570/800 loss 1.4025
pretrain epoch 580/800 loss 1.3946
pretrain epoch 590/800 loss 1.3672
pretrain epoch 600/800 loss 1.3701
pretrain epoch 610/800 loss 1.3425
pretrain epoch 620/800 loss 1.3428
pretrain epoch 630/800 loss 1.3362
pretrain epoch 640/800 loss 1.3275
pretrain epoch 650/800 loss 1.3146
pretrain epoch 660/800 loss 1.3030
pretrain epoch 670/800 loss 1.2907
pretrain epoch 680/800 loss 1.2794
pretrain epoch 690/800 loss 1.2819
pretrain epoch 700/800 loss 1.2732
pretrain epoch 710/800 loss 1.2793
pretrain epoch 720/800 loss 1.2640
pretrain epoch 730/800 loss 1.2716
pretrain epoch 740/800 loss 1.2603
pretrain epoch 750/800 loss 1.2628
pretrain epoch 760/800 loss 1.2616
pretrain epoch 770/800 loss 1.2601
pretrain epoch 780/800 loss 1.2556
pretrain epoch 790/800 loss 1.2580
pretrain epoch 800/800 loss 1.2558
saved 120 tensors (21600 steps) -> runs/simclr_pre800_c100_7pct/seed0/pretrain.pt
