pretrain optimizer: sgd lr=0.3
pretrain epoch 1/800 loss 5.2775
pretrain epoch 10/800 loss 4.8445
pretrain epoch 20/800 loss 4.3220
pretrain epoch 30/800 loss 4.1182
pretrain epoch 40/800 loss 3.8006
pretrain epoch 50/800 loss 3.7289
pretrain epoch 60/800 loss 3.6068
pretrain epoch 70/800 loss 3.4970
pretrain epoch 80/800 loss 3.4161
pretrain epoch 90/800 loss 3.3559
pretrain epoch 100/800 loss 3.2594
pretrain epoch 110/800 loss 3.1683
pretrain epoch 120/800 loss 2.9520
pretrain epoch 130/800 loss 2.8979
pretrain epoch 140/800 loss 2.8383
pretrain epoch 150/800 loss 2.7237
pretrain epoch 160/800 loss 2.6776
pretrain epoch 170/800 loss 2.6627
pretrain epoch 180/800 loss 2.5829
pretrain epoch 190/800 loss 2.4931
pretrain epoch 200/800 loss 2.5174
pretrain epoch 210/800 loss 2.4460
pretrain epoch 220/800 loss 2.3853
pretrain epoch 230/800 loss 2.3599
pretrain epoch 240/800 loss 2.3514
pretrain epoch 250/800 loss 2.2487
pretrain epoch 260/800 loss 2.2702
pretrain epoch 270/800 loss 2.1901
pretrain epoch 280/800 loss 2.1824
pretrain epoch 290/800 loss 2.1092
pretrain epoch 300/800 loss 2.1356
pretrain epoch 310/800 loss 2.0635
pretrain epoch 320/800 loss 2.0691
pretrain epoch 330/800 loss 1.9739
pretrain epoch 340/800 loss 2.0307
pretrain epoch 350/800 loss 1.9066
pretrain epoch 360/800 loss 1.8910
pretrain epoch 370/800 loss 1.9128
pretrain epoch 380/800 loss 1.8400
pretrain epoch 390/800 loss 1.8225
pretrain epoch 400/800 loss 1.7874
pretrain epoch 410/800 loss 1.7570
pretrain epoch 420/800 loss 1.7674
pretrain epoch 430/800 loss 1.7014
pretrain epoch 440/800 loss 1.7306
pretrain epoch 450/800 loss 1.6894
pretrain epoch 460/800 loss 1.6466
pretrain epoch 470/800 loss 1.6031
pretrain epoch 480/800 loss 1.6036
pretrain epoch 490/800 loss 1.5937
pretrain epoch 500/800 loss 1.5636
pretrain epoch 510/800 loss 1.5369
pretrain epoch 520/800 loss 1.5218
pretrain epoch 530/800 loss 1.5074
pretrain epoch 540/800 loss 1.4776
pretrain epoch 550/800 loss 1.4638
pretrain epoch 560/800 loss 1.4617
pretrain epoch 570/800 loss 1.4519
pretrain epoch 580/800 loss 1.4222
pretrain epoch 590/800 loss 1.4315
pretrain epoch 600/800 loss 1.4165
pretrain epoch 610/800 loss 1.4001
pretrain epoch 620/800 loss 1.3808
pretrain epoch 630/800 loss 1.3972
pretrain epoch 640/800 loss 1.3632
pretrain epoch 650/800 loss 1.3629
pretrain epoch 660/800 loss 1.3584
pretrain epoch 670/800 loss 1.3475
pretrain epoch 680/800 loss 1.3300
pretrain epoch 690/800 loss 1.3264
pretrain epoch 700/800 loss 1.3268
pretrain epoch 710/800 loss 1.3200
pretrain epoch 720/800 loss 1.3236
pretrain epoch 730/800 loss 1.3298
pretrain epoch 740/800 loss 1.3163
pretrain epoch 750/800 loss 1.3001
pretrain epoch 760/800 loss 1.2967
pretrain epoch 770/800 loss 1.2944
pretrain epoch 780/800 loss 1.3117
pretrain epoch 790/800 loss 1.3181
pretrain epoch 800/800 loss 1.3113
saved 120 tensors (8800 steps) -> runs/simclr_pre800_c100_3pct/seed0/pretrain.pt
