pretrain optimizer: sgd lr=0.3
pretrain epoch 1/800 loss 4.8993
pretrain epoch 10/800 loss 3.4093
pretrain epoch 20/800 loss 3.0271
pretrain epoch 30/800 loss 2.7653
pretrain epoch 40/800 loss 2.5958
pretrain epoch 50/800 loss 2.4723
pretrain epoch 60/800 loss 2.4175
pretrain epoch 70/800 loss 2.3455
pretrain epoch 80/800 loss 2.2793
pretrain epoch 90/800 loss 2.2292
pretrain epoch 100/800 loss 2.2251
pretrain epoch 110/800 loss 2.2012
pretrain epoch 120/800 loss 2.1450
pretrain epoch 130/800 loss 2.1299
pretrain epoch 140/800 loss 2.1036
pretrain epoch 150/800 loss 2.0909
pretrain epoch 160/800 loss 2.0638
pretrain epoch 170/800 loss 2.0505
pretrain epoch 180/800 loss 2.0230
pretrain epoch 190/800 loss 2.0196
pretrain epoch 200/800 loss 2.0043
pretrain epoch 210/800 loss 1.9798
pretrain epoch 220/800 loss 1.9608
pretrain epoch 230/800 loss 1.9645
pretrain epoch 240/800 loss 1.9424
pretrain epoch 250/800 loss 1.9235
pretrain epoch 260/800 loss 1.9137
pretrain epoch 270/800 loss 1.8990
pretrain epoch 280/800 loss 1.8960
pretrain epoch 290/800 loss 1.8752
pretrain epoch 300/800 loss 1.8593
pretrain epoch 310/800 loss 1.8425
pretrain epoch 320/800 loss 1.8336
pretrain epoch 330/800 loss 1.8466
pretrain epoch 340/800 loss 1.8156
pretrain epoch 350/800 loss 1.8005
pretrain epoch 360/800 loss 1.7969
pretrain epoch 370/800 loss 1.7713
pretrain epoch 380/800 loss 1.7730
pretrain epoch 390/800 loss 1.7451
pretrain epoch 400/800 loss 1.7393
pretrain epoch 410/800 loss 1.7174
pretrain epoch 420/800 loss 1.7098
pretrain epoch 430/800 loss 1.7044
pretrain epoch 440/800 loss 1.6807
pretrain epoch 450/800 loss 1.6548
pretrain epoch 460/800 loss 1.6660
pretrain epoch 470/800 loss 1.6324
pretrain epoch 480/800 loss 1.6202
pretrain epoch 490/800 loss 1.6062
pretrain epoch 500/800 loss 1.6077
pretrain epoch 510/800 loss 1.5804
pretrain epoch 520/800 loss 1.5746
pretrain epoch 530/800 loss 1.5523
pretrain epoch 540/800 loss 1.5441
pretrain epoch 550/800 loss 1.5212
pretrain epoch 560/800 loss 1.5162
pretrain epoch 570/800 loss 1.4909
pretrain epoch 580/800 loss 1.4899
pretrain epoch 590/800 loss 1.4639
pretrain epoch 600/800 loss 1.4485
pretrain epoch 610/800 loss 1.4417
pretrain epoch 620/800 loss 1.4211
pretrain epoch 630/800 loss 1.4068
pretrain epoch 640/800 loss 1.3929
pretrain epoch 650/800 loss 1.3901
pretrain epoch 660/800 loss 1.3709
pretrain epoch 670/800 loss 1.3650
pretrain epoch 680/800 loss 1.3557
pretrain epoch 690/800 loss 1.3452
pretrain epoch 700/800 loss 1.3299
pretrain epoch 710/800 loss 1.3342
pretrain epoch 720/800 loss 1.3111
pretrain epoch 730/800 loss 1.3183
pretrain epoch 740/800 loss 1.3138
pretrain epoch 750/800 loss 1.3017
pretrain epoch 760/800 loss 1.3036
pretrain epoch 770/800 loss 1.2945
pretrain epoch 780/800 loss 1.2958
pretrain epoch 790/800 loss 1.3017
pretrain epoch 800/800 loss 1.2950
saved 120 tensors (46400 steps) -> runs/simclr_pre800_c100_15pct/seed0/pretrain.pt
