pretrain optimizer: sgd lr=0.3
pretrain epoch 1/800 loss 5.2023
pretrain epoch 10/800 loss 4.7986
pretrain epoch 20/800 loss 4.5283
pretrain epoch 30/800 loss 4.5395
pretrain epoch 40/800 loss 4.3901
pretrain epoch 50/800 loss 4.3042
pretrain epoch 60/800 loss 4.1519
pretrain epoch 70/800 loss 4.0133
pretrain epoch 80/800 loss 3.9373
pretrain epoch 90/800 loss 3.7935
pretrain epoch 100/800 loss 3.7742
pretrain epoch 110/800 loss 3.6003
pretrain epoch 120/800 loss 3.5934
pretrain epoch 130/800 loss 3.4434
pretrain epoch 140/800 loss 3.5205
pretrain epoch 150/800 loss 3.4186
pretrain epoch 160/800 loss 3.3395
pretrain epoch 170/800 loss 3.3255
pretrain epoch 180/800 loss 3.2643
pretrain epoch 190/800 loss 3.2956
pretrain epoch 200/800 loss 3.0961
pretrain epoch 210/800 loss 3.1612
pretrain epoch 220/800 loss 3.1454
pretrain epoch 230/800 loss 3.0866
pretrain epoch 240/800 loss 3.0157
pretrain epoch 250/800 loss 2.8635
pretrain epoch 260/800 loss 2.8640
pretrain epoch 270/800 loss 2.9491
pretrain epoch 280/800 loss 2.8652
pretrain epoch 290/800 loss 2.8982
pretrain epoch 300/800 loss 2.7712
pretrain epoch 310/800 loss 2.8154
pretrain epoch 320/800 loss 2.7052
pretrain epoch 330/800 loss 2.7764
pretrain epoch 340/800 loss 2.6469
pretrain epoch 350/800 loss 2.6356
pretrain epoch 360/800 loss 2.5295
pretrain epoch 370/800 loss 2.4835
pretrain epoch 380/800 loss 2.4909
pretrain epoch 390/800 loss 2.4208
pretrain epoch 400/800 loss 2.3872
pretrain epoch 410/800 loss 2.3540
pretrain epoch 420/800 loss 2.4259
pretrain epoch 430/800 loss 2.3287
pretrain epoch 440/800 loss 2.2843
pretrain epoch 450/800 loss 2.2508
pretrain epoch 460/800 loss 2.2112
pretrain epoch 470/800 loss 2.2750
pretrain epoch 480/800 loss 2.2366
pretrain epoch 490/800 loss 2.1046
pretrain epoch 500/800 loss 2.1622
pretrain epoch 510/800 loss 2.1342
pretrain epoch 520/800 loss 2.0743
pretrain epoch 530/800 loss 2.0542
pretrain epoch 540/800 loss 2.0275
pretrain epoch 550/800 loss 2.0175
pretrain epoch 560/800 loss 1.9705
pretrain epoch 570/800 loss 1.9990
pretrain epoch 580/800 loss 1.9609
pretrain epoch 590/800 loss 1.9500
pretrain epoch 600/800 loss 1.8376
pretrain epoch 610/800 loss 1.8732
pretrain epoch 620/800 loss 1.8345
pretrain epoch 630/800 loss 1.8783
pretrain epoch 640/800 loss 1.8817
pretrain epoch 650/800 loss 1.7937
pretrain epoch 660/800 loss 1.8111
pretrain epoch 670/800 loss 1.8125
pretrain epoch 680/800 loss 1.7900
pretrain epoch 690/800 loss 1.7765
pretrain epoch 700/800 loss 1.7471
pretrain epoch 710/800 loss 1.7531
pretrain epoch 720/800 loss 1.7608
pretrain epoch 730/800 loss 1.7145
pretrain epoch 740/800 loss 1.7193
pretrain epoch 750/800 loss 1.7158
pretrain epoch 760/800 loss 1.7012
pretrain epoch 770/800 loss 1.7349
pretrain epoch 780/800 loss 1.7315
pretrain epoch 790/800 loss 1.7579
pretrain epoch 800/800 loss 1.7369
saved 120 tensors (2400 steps) -> runs/simclr_pre800_c100_1pct/seed0/pretrain.pt
