pretrain optimizer: sgd lr=0.3
pretrain epoch 1/800 loss 5.2804
pretrain epoch 10/800 loss 4.9312
pretrain epoch 20/800 loss 4.7719
pretrain epoch 30/800 loss 4.7412
pretrain epoch 40/800 loss 4.5627
pretrain epoch 50/800 loss 4.4907
pretrain epoch 60/800 loss 4.4916
pretrain epoch 70/800 loss 4.3777
pretrain epoch 80/800 loss 4.0350
pretrain epoch 90/800 loss 3.9707
pretrain epoch 100/800 loss 3.9169
pretrain epoch 110/800 loss 3.8576
pretrain epoch 120/800 loss 3.7577
pretrain epoch 130/800 loss 3.7657
pretrain epoch 140/800 loss 3.6746
pretrain epoch 150/800 loss 3.5405
pretrain epoch 160/800 loss 3.4831
pretrain epoch 170/800 loss 3.4911
pretrain epoch 180/800 loss 3.3251
pretrain epoch 190/800 loss 3.3153
pretrain epoch 200/800 loss 3.2605
pretrain epoch 210/800 loss 3.2836
pretrain epoch 220/800 loss 3.2046
pretrain epoch 230/800 loss 3.2149
pretrain epoch 240/800 loss 3.1845
pretrain epoch 250/800 loss 3.1345
pretrain epoch 260/800 loss 3.1002
pretrain epoch 270/800 loss 3.0858
pretrain epoch 280/800 loss 2.9948
pretrain epoch 290/800 loss 3.0459
pretrain epoch 300/800 loss 3.0377
pretrain epoch 310/800 loss 2.9192
pretrain epoch 320/800 loss 2.9112
pretrain epoch 330/800 loss 2.8382
pretrain epoch 340/800 loss 2.8318
pretrain epoch 350/800 loss 2.8104
pretrain epoch 360/800 loss 2.7427
pretrain epoch 370/800 loss 2.7199
pretrain epoch 380/800 loss 2.6749
pretrain epoch 390/800 loss 2.6459
pretrain epoch 400/800 loss 2.5494
pretrain epoch 410/800 loss 2.5628
pretrain epoch 420/800 loss 2.5931
pretrain epoch 430/800 loss 2.5164
pretrain epoch 440/800 loss 2.4979
pretrain epoch 450/800 loss 2.4211
pretrain epoch 460/800 loss 2.4268
pretrain epoch 470/800 loss 2.3742
pretrain epoch 480/800 loss 2.3189
pretrain epoch 490/800 loss 2.3459
pretrain epoch 500/800 loss 2.2769
pretrain epoch 510/800 loss 2.1978
pretrain epoch 520/800 loss 2.2806
pretrain epoch 530/800 loss 2.2047
pretrain epoch 540/800 loss 2.0811
pretrain epoch 550/800 loss 2.2330
pretrain epoch 560/800 loss 2.1299
pretrain epoch 570/800 loss 2.1437
pretrain epoch 580/800 loss 2.0537
pretrain epoch 590/800 loss 2.0532
pretrain epoch 600/800 loss 2.0175
pretrain epoch 610/800 loss 2.0192
pretrain epoch 620/800 loss 1.9979
pretrain epoch 630/800 loss 2.0233
pretrain epoch 640/800 loss 1.9245
pretrain epoch 650/800 loss 1.9044
pretrain epoch 660/800 loss 1.8976
pretrain epoch 670/800 loss 1.9170
pretrain epoch 680/800 loss 1.8972
pretrain epoch 690/800 loss 1.8499
pretrain epoch 700/800 loss 1.8459
pretrain epoch 710/800 loss 1.8968
pretrain epoch 720/800 loss 1.8695
pretrain epoch 730/800 loss 1.8267
pretrain epoch 740/800 loss 1.9005
pretrain epoch 750/800 loss 1.9395
pretrain epoch 760/800 loss 1.8503
pretrain epoch 770/800 loss 1.8730
pretrain epoch 780/800 loss 1.8751
pretrain epoch 790/800 loss 1.9021
pretrain epoch 800/800 loss 1.8780
saved 120 tensors (2400 steps) -> runs/simclr_pre800_c100_1pct/seed1/pretrain.pt
