  diagmae_vit_5pct seed0 [last.pt]: acc 21.71
  diagmae_vit_5pct seed1 [last.pt]: acc 17.97
  diagmae_vit_5pct seed2 [last.pt]: acc 21.70
  diagsslvit_simclr_10pct seed0 [last.pt]: acc 30.62
  diagsslvit_simclr_10pct seed1 [last.pt]: acc 30.03
  diagsslvit_simclr_10pct seed2 [last.pt]: acc 28.68
  diagsslvit_simclr_1pct seed0 [last.pt]: acc 6.88
  diagsslvit_simclr_1pct seed1 [last.pt]: acc 7.19
  diagsslvit_simclr_1pct seed2 [last.pt]: acc 7.12
  diagsslvit_simclr_25pct seed0 [last.pt]: acc 43.34
  diagsslvit_simclr_25pct seed1 [last.pt]: acc 43.75
  diagsslvit_simclr_25pct seed2 [last.pt]: acc 43.65
  diagsslvit_simclr_5pct seed0 [last.pt]: acc 20.65
  diagsslvit_simclr_5pct seed1 [last.pt]: acc 20.83
  diagsslvit_simclr_5pct seed2 [last.pt]: acc 19.49
  diagtransfer2_c100_none_7pct seed3 [last.pt]: acc 46.05
  diagtransfer2_c100_none_7pct seed4 [last.pt]: acc 51.18
  diagtransfer2_c100_none_7pct seed5 [last.pt]: acc 52.33
  diagvit_aux_100pct seed0 [last.pt]: acc 60.85
  diagvit_aux_100pct seed1 [last.pt]: acc 60.86
  diagvit_aux_100pct seed2 [last.pt]: acc 59.76
  diagvit_aux_10pct seed0 [last.pt]: acc 29.63
  diagvit_aux_10pct seed1 [last.pt]: acc 29.54
  diagvit_aux_10pct seed2 [last.pt]: acc 30.04
  diagvit_aux_15pct seed0 [last.pt]: acc 35.67
  diagvit_aux_15pct seed1 [last.pt]: acc 35.96
  diagvit_aux_15pct seed2 [last.pt]: acc 35.38
  diagvit_aux_1pct seed0 [last.pt]: acc 7.83
  diagvit_aux_1pct seed1 [last.pt]: acc 8.00
  diagvit_aux_1pct seed2 [last.pt]: acc 7.57
  diagvit_aux_25pct seed0 [last.pt]: acc 41.55
  diagvit_aux_25pct seed1 [last.pt]: acc 42.31
  diagvit_aux_25pct seed2 [last.pt]: acc 42.66
  diagvit_aux_2pct seed0 [last.pt]: acc 12.13
  diagvit_aux_2pct seed1 [last.pt]: acc 12.09
  diagvit_aux_2pct seed2 [last.pt]: acc 12.23
  diagvit_aux_3pct seed0 [last.pt]: acc 16.48
  diagvit_aux_3pct seed1 [last.pt]: acc 15.76
  diagvit_aux_3pct seed2 [last.pt]: acc 16.31
  diagvit_aux_5pct seed0 [last.pt]: acc 21.19
  diagvit_aux_5pct seed1 [last.pt]: acc 21.45
  diagvit_aux_5pct seed2 [last.pt]: acc 22.17
  diagvit_aux_7pct seed0 [last.pt]: acc 25.59
  diagvit_aux_7pct seed1 [last.pt]: acc 25.13
  diagvit_aux_7pct seed2 [last.pt]: acc 25.29
  diagvit_none_100pct seed0 [last.pt]: acc 50.02
  diagvit_none_100pct seed1 [last.pt]: acc 50.91
  diagvit_none_100pct seed2 [last.pt]: acc 50.89
  diagvit_none_10pct seed0 [last.pt]: acc 16.90
  diagvit_none_10pct seed1 [last.pt]: acc 15.90
  diagvit_none_10pct seed2 [last.pt]: acc 16.61
  diagvit_none_15pct seed0 [last.pt]: acc 20.60
  diagvit_none_15pct seed1 [last.pt]: acc 21.55
  diagvit_none_15pct seed2 [last.pt]: acc 21.55
  diagvit_none_1pct seed0 [last.pt]: acc 6.28
  diagvit_none_1pct seed1 [last.pt]: acc 6.64
  diagvit_none_1pct seed2 [last.pt]: acc 6.40
  diagvit_none_25pct seed0 [last.pt]: acc 28.56
  diagvit_none_25pct seed1 [last.pt]: acc 27.84
  diagvit_none_25pct seed2 [last.pt]: acc 29.07
  diagvit_none_2pct seed0 [last.pt]: acc 8.41
  diagvit_none_2pct seed1 [last.pt]: acc 9.18
  diagvit_none_2pct seed2 [last.pt]: acc 9.12
  diagvit_none_3pct seed0 [last.pt]: acc 10.12
  diagvit_none_3pct seed1 [last.pt]: acc 9.97
  diagvit_none_3pct seed2 [last.pt]: acc 9.82
  diagvit_none_5pct seed0 [last.pt]: acc 12.32
  diagvit_none_5pct seed1 [last.pt]: acc 11.38
  diagvit_none_5pct seed2 [last.pt]: acc 13.04
  diagvit_none_7pct seed0 [last.pt]: acc 14.62
  diagvit_none_7pct seed1 [last.pt]: acc 13.90
  diagvit_none_7pct seed2 [last.pt]: acc 14.54
[dtd] extracting 3 cells
  diaggrid_dino_dtd_50pct seed0 [last.pt]: acc 15.37
  diaggrid_dino_dtd_50pct seed1 [last.pt]: acc 14.84
  diaggrid_dino_dtd_50pct seed2 [last.pt]: acc 15.64
  diaggrid_vit_dtd_aux_50pct seed0 [last.pt]: acc 23.72
  diaggrid_vit_dtd_aux_50pct seed1 [last.pt]: acc 23.09
  diaggrid_vit_dtd_aux_50pct seed2 [last.pt]: acc 24.52
  diaggrid_vit_dtd_none_50pct seed0 [last.pt]: acc 14.68
  diaggrid_vit_dtd_none_50pct seed1 [last.pt]: acc 13.56
  diaggrid_vit_dtd_none_50pct seed2 [last.pt]: acc 13.51
[eurosat] extracting 12 cells
  diagfuse_esat_aug_10pct seed0 [last.pt]: acc 94.13
  diagfuse_esat_aug_10pct seed1 [last.pt]: acc 93.07
  diagfuse_esat_aug_10pct seed2 [last.pt]: acc 93.41
  diagfuse_esat_aug_25pct seed0 [last.pt]: acc 97.56
  diagfuse_esat_aug_25pct seed1 [last.pt]: acc 97.59
  diagfuse_esat_aug_25pct seed2 [last.pt]: acc 97.50
  diagfuse_esat_aug_5pct seed0 [last.pt]: acc 83.85
  diagfuse_esat_aug_5pct seed1 [last.pt]: acc 81.15
  diagfuse_esat_aug_5pct seed2 [last.pt]: acc 84.35
  diaggrid_simclr_esat_10pct seed0 [last.pt]: acc 93.94
  diaggrid_simclr_esat_10pct seed1 [last.pt]: acc 94.07
  diaggrid_simclr_esat_10pct seed2 [last.pt]: acc 94.41
  diaggrid_simclr_esat_25pct seed0 [last.pt]: acc 97.24
  diaggrid_simclr_esat_25pct seed1 [last.pt]: acc 97.30
  diaggrid_simclr_esat_25pct seed2 [last.pt]: acc 97.48
  diaggrid_simclr_esat_5pct seed0 [last.pt]: acc 89.50
  diaggrid_simclr_esat_5pct seed1 [last.pt]: acc 89.80
  diaggrid_simclr_esat_5pct seed2 [last.pt]: acc 90.07
  grid_esat_r18_axmagnitudeL3_l10to00_hn_dd367d_10pct seed0 [last.pt]: acc 94.89
  grid_esat_r18_axmagnitudeL3_l10to00_hn_dd367d_10pct seed1 [last.pt]: acc 94.87
  grid_esat_r18_axmagnitudeL3_l10to00_hn_dd367d_10pct seed2 [last.pt]: acc 94.91
  grid_esat_r18_axmagnitudeL3_l10to00_hn_dd367d_25pct seed0 [last.pt]: acc 97.17
  grid_esat_r18_axmagnitudeL3_l10to00_hn_dd367d_25pct seed1 [last.pt]: acc 97.43
  grid_esat_r18_axmagnitudeL3_l10to00_hn_dd367d_25pct seed2 [last.pt]: acc 97.37
  grid_esat_r18_axmagnitudeL3_l10to00_hn_dd367d_5pct seed0 [last.pt]: acc 91.56
  grid_esat_r18_axmagnitudeL3_l10to00_hn_dd367d_5pct seed1 [last.pt]: acc 91.87
  grid_esat_r18_axmagnitudeL3_l10to00_hn_dd367d_5pct seed2 [last.pt]: acc 91.50
  grid_esat_r18_e99fb4_10pct seed0 [last.pt]: acc 94.11
