pretrain optimizer: adamw lr=0.001
pretrain epoch 1/800 loss 5.0585
pretrain epoch 10/800 loss 3.8131
pretrain epoch 20/800 loss 3.4459
pretrain epoch 30/800 loss 3.3047
pretrain epoch 40/800 loss 3.1968
pretrain epoch 50/800 loss 3.0954
pretrain epoch 60/800 loss 2.9795
pretrain epoch 70/800 loss 2.9324
pretrain epoch 80/800 loss 2.8045
pretrain epoch 90/800 loss 2.7594
pretrain epoch 100/800 loss 2.6629
pretrain epoch 110/800 loss 2.6241
pretrain epoch 120/800 loss 2.5694
pretrain epoch 130/800 loss 2.5381
pretrain epoch 140/800 loss 2.5009
pretrain epoch 150/800 loss 2.4399
pretrain epoch 160/800 loss 2.4445
pretrain epoch 170/800 loss 2.4348
pretrain epoch 180/800 loss 2.3771
pretrain epoch 190/800 loss 2.3661
pretrain epoch 200/800 loss 2.3376
pretrain epoch 210/800 loss 2.3163
pretrain epoch 220/800 loss 2.3226
pretrain epoch 230/800 loss 2.2692
pretrain epoch 240/800 loss 2.2554
pretrain epoch 250/800 loss 2.2344
pretrain epoch 260/800 loss 2.2191
pretrain epoch 270/800 loss 2.1950
pretrain epoch 280/800 loss 2.1865
pretrain epoch 290/800 loss 2.1303
pretrain epoch 300/800 loss 2.1578
pretrain epoch 310/800 loss 2.1094
pretrain epoch 320/800 loss 2.1044
pretrain epoch 330/800 loss 2.0854
pretrain epoch 340/800 loss 2.0722
pretrain epoch 350/800 loss 2.0584
pretrain epoch 360/800 loss 2.0335
pretrain epoch 370/800 loss 2.0345
pretrain epoch 380/800 loss 2.0295
pretrain epoch 390/800 loss 2.0102
pretrain epoch 400/800 loss 1.9843
pretrain epoch 410/800 loss 1.9765
pretrain epoch 420/800 loss 1.9514
pretrain epoch 430/800 loss 1.9465
pretrain epoch 440/800 loss 1.9453
pretrain epoch 450/800 loss 1.9349
pretrain epoch 460/800 loss 1.8987
pretrain epoch 470/800 loss 1.8740
pretrain epoch 480/800 loss 1.8672
pretrain epoch 490/800 loss 1.8691
pretrain epoch 500/800 loss 1.8703
pretrain epoch 510/800 loss 1.8320
pretrain epoch 520/800 loss 1.8470
pretrain epoch 530/800 loss 1.8158
pretrain epoch 540/800 loss 1.8091
pretrain epoch 550/800 loss 1.8130
pretrain epoch 560/800 loss 1.7844
pretrain epoch 570/800 loss 1.7745
pretrain epoch 580/800 loss 1.7750
pretrain epoch 590/800 loss 1.7561
pretrain epoch 600/800 loss 1.7578
pretrain epoch 610/800 loss 1.7571
pretrain epoch 620/800 loss 1.7448
pretrain epoch 630/800 loss 1.7221
pretrain epoch 640/800 loss 1.7233
pretrain epoch 650/800 loss 1.7128
pretrain epoch 660/800 loss 1.7104
pretrain epoch 670/800 loss 1.7084
pretrain epoch 680/800 loss 1.6857
pretrain epoch 690/800 loss 1.6859
pretrain epoch 700/800 loss 1.7098
pretrain epoch 710/800 loss 1.6742
pretrain epoch 720/800 loss 1.6868
pretrain epoch 730/800 loss 1.6844
pretrain epoch 740/800 loss 1.6708
pretrain epoch 750/800 loss 1.6869
pretrain epoch 760/800 loss 1.6920
pretrain epoch 770/800 loss 1.6642
pretrain epoch 780/800 loss 1.6958
pretrain epoch 790/800 loss 1.6733
pretrain epoch 800/800 loss 1.6727
saved 150 tensors (31200 steps) -> runs/simclr_pre800_vit_10pct/seed1/pretrain.pt
