pretrain optimizer: sgd lr=0.3
pretrain epoch 1/800 loss 5.1393
pretrain epoch 10/800 loss 4.6660
pretrain epoch 20/800 loss 4.2708
pretrain epoch 30/800 loss 3.9569
pretrain epoch 40/800 loss 3.6578
pretrain epoch 50/800 loss 3.5432
pretrain epoch 60/800 loss 3.2989
pretrain epoch 70/800 loss 3.2964
pretrain epoch 80/800 loss 3.1509
pretrain epoch 90/800 loss 3.0923
pretrain epoch 100/800 loss 2.9570
pretrain epoch 110/800 loss 2.9320
pretrain epoch 120/800 loss 2.7872
pretrain epoch 130/800 loss 2.7194
pretrain epoch 140/800 loss 2.6712
pretrain epoch 150/800 loss 2.6497
pretrain epoch 160/800 loss 2.5264
pretrain epoch 170/800 loss 2.5033
pretrain epoch 180/800 loss 2.4313
pretrain epoch 190/800 loss 2.3940
pretrain epoch 200/800 loss 2.3727
pretrain epoch 210/800 loss 2.3252
pretrain epoch 220/800 loss 2.3023
pretrain epoch 230/800 loss 2.2421
pretrain epoch 240/800 loss 2.1839
pretrain epoch 250/800 loss 2.1497
pretrain epoch 260/800 loss 2.1199
pretrain epoch 270/800 loss 2.1122
pretrain epoch 280/800 loss 2.0955
pretrain epoch 290/800 loss 2.0260
pretrain epoch 300/800 loss 1.9643
pretrain epoch 310/800 loss 1.9444
pretrain epoch 320/800 loss 1.9447
pretrain epoch 330/800 loss 1.9115
pretrain epoch 340/800 loss 1.9001
pretrain epoch 350/800 loss 1.8513
pretrain epoch 360/800 loss 1.8055
pretrain epoch 370/800 loss 1.7954
pretrain epoch 380/800 loss 1.7831
pretrain epoch 390/800 loss 1.7563
pretrain epoch 400/800 loss 1.7220
pretrain epoch 410/800 loss 1.6843
pretrain epoch 420/800 loss 1.7024
pretrain epoch 430/800 loss 1.6242
pretrain epoch 440/800 loss 1.6171
pretrain epoch 450/800 loss 1.5997
pretrain epoch 460/800 loss 1.5772
pretrain epoch 470/800 loss 1.5954
pretrain epoch 480/800 loss 1.5295
pretrain epoch 490/800 loss 1.5240
pretrain epoch 500/800 loss 1.5311
pretrain epoch 510/800 loss 1.4874
pretrain epoch 520/800 loss 1.4880
pretrain epoch 530/800 loss 1.4578
pretrain epoch 540/800 loss 1.4437
pretrain epoch 550/800 loss 1.4387
pretrain epoch 560/800 loss 1.3986
pretrain epoch 570/800 loss 1.3882
pretrain epoch 580/800 loss 1.3826
pretrain epoch 590/800 loss 1.3923
pretrain epoch 600/800 loss 1.3598
pretrain epoch 610/800 loss 1.3498
pretrain epoch 620/800 loss 1.3621
pretrain epoch 630/800 loss 1.3404
pretrain epoch 640/800 loss 1.3466
pretrain epoch 650/800 loss 1.3182
pretrain epoch 660/800 loss 1.3299
pretrain epoch 670/800 loss 1.3207
pretrain epoch 680/800 loss 1.3104
pretrain epoch 690/800 loss 1.3028
pretrain epoch 700/800 loss 1.2867
pretrain epoch 710/800 loss 1.2952
pretrain epoch 720/800 loss 1.2969
pretrain epoch 730/800 loss 1.2888
pretrain epoch 740/800 loss 1.2846
pretrain epoch 750/800 loss 1.2866
pretrain epoch 760/800 loss 1.2748
pretrain epoch 770/800 loss 1.2846
pretrain epoch 780/800 loss 1.2966
pretrain epoch 790/800 loss 1.2727
pretrain epoch 800/800 loss 1.2822
saved 120 tensors (8800 steps) -> runs/simclr_pre800_c100_3pct/seed2/pretrain.pt
