pretrain optimizer: sgd lr=0.3
pretrain epoch 1/800 loss 5.1610
pretrain epoch 10/800 loss 4.5865
pretrain epoch 20/800 loss 4.1909
pretrain epoch 30/800 loss 3.9032
pretrain epoch 40/800 loss 3.6826
pretrain epoch 50/800 loss 3.5780
pretrain epoch 60/800 loss 3.5294
pretrain epoch 70/800 loss 3.3668
pretrain epoch 80/800 loss 3.2767
pretrain epoch 90/800 loss 3.2263
pretrain epoch 100/800 loss 3.1270
pretrain epoch 110/800 loss 2.9730
pretrain epoch 120/800 loss 2.8313
pretrain epoch 130/800 loss 2.7788
pretrain epoch 140/800 loss 2.7343
pretrain epoch 150/800 loss 2.6403
pretrain epoch 160/800 loss 2.6080
pretrain epoch 170/800 loss 2.5648
pretrain epoch 180/800 loss 2.4988
pretrain epoch 190/800 loss 2.4522
pretrain epoch 200/800 loss 2.4138
pretrain epoch 210/800 loss 2.3388
pretrain epoch 220/800 loss 2.3067
pretrain epoch 230/800 loss 2.1894
pretrain epoch 240/800 loss 2.2125
pretrain epoch 250/800 loss 2.1717
pretrain epoch 260/800 loss 2.1540
pretrain epoch 270/800 loss 2.0971
pretrain epoch 280/800 loss 2.1058
pretrain epoch 290/800 loss 2.0514
pretrain epoch 300/800 loss 2.0271
pretrain epoch 310/800 loss 1.9732
pretrain epoch 320/800 loss 1.9969
pretrain epoch 330/800 loss 1.9230
pretrain epoch 340/800 loss 1.8965
pretrain epoch 350/800 loss 1.8866
pretrain epoch 360/800 loss 1.8450
pretrain epoch 370/800 loss 1.8566
pretrain epoch 380/800 loss 1.7745
pretrain epoch 390/800 loss 1.7436
pretrain epoch 400/800 loss 1.7590
pretrain epoch 410/800 loss 1.7300
pretrain epoch 420/800 loss 1.7296
pretrain epoch 430/800 loss 1.6714
pretrain epoch 440/800 loss 1.6460
pretrain epoch 450/800 loss 1.6228
pretrain epoch 460/800 loss 1.5992
pretrain epoch 470/800 loss 1.5933
pretrain epoch 480/800 loss 1.5740
pretrain epoch 490/800 loss 1.5823
pretrain epoch 500/800 loss 1.5198
pretrain epoch 510/800 loss 1.4789
pretrain epoch 520/800 loss 1.4826
pretrain epoch 530/800 loss 1.4606
pretrain epoch 540/800 loss 1.4637
pretrain epoch 550/800 loss 1.4655
pretrain epoch 560/800 loss 1.4293
pretrain epoch 570/800 loss 1.4242
pretrain epoch 580/800 loss 1.4175
pretrain epoch 590/800 loss 1.3953
pretrain epoch 600/800 loss 1.3849
pretrain epoch 610/800 loss 1.3736
pretrain epoch 620/800 loss 1.3534
pretrain epoch 630/800 loss 1.3601
pretrain epoch 640/800 loss 1.3475
pretrain epoch 650/800 loss 1.3316
pretrain epoch 660/800 loss 1.3318
pretrain epoch 670/800 loss 1.3311
pretrain epoch 680/800 loss 1.3265
pretrain epoch 690/800 loss 1.3212
pretrain epoch 700/800 loss 1.3059
pretrain epoch 710/800 loss 1.3054
pretrain epoch 720/800 loss 1.3059
pretrain epoch 730/800 loss 1.2952
pretrain epoch 740/800 loss 1.2901
pretrain epoch 750/800 loss 1.3058
pretrain epoch 760/800 loss 1.2878
pretrain epoch 770/800 loss 1.2902
pretrain epoch 780/800 loss 1.2874
pretrain epoch 790/800 loss 1.2839
pretrain epoch 800/800 loss 1.3089
saved 120 tensors (8800 steps) -> runs/simclr_pre800_c100_3pct/seed1/pretrain.pt
