[cifar10] 25-shot probes for 9 cells
  diaggrid_simclr_c100_5pct seed2 [last.pt]: 25-shot test 34.41
  diaggrid_simsiam_c100_10pct seed0 [last.pt]: 25-shot test 40.97
  diaggrid_simsiam_c100_10pct seed1 [last.pt]: 25-shot test 40.31
  diaggrid_simsiam_c100_10pct seed2 [last.pt]: 25-shot test 40.70
  diaggrid_simsiam_c100_5pct seed0 [last.pt]: 25-shot test 25.38
  diaggrid_simsiam_c100_5pct seed1 [last.pt]: 25-shot test 25.25
  diaggrid_simsiam_c100_5pct seed2 [last.pt]: 25-shot test 25.63
  diagmae_vit_10pct seed0 [last.pt]: 25-shot test 29.51
  diagmae_vit_10pct seed1 [last.pt]: 25-shot test 29.09
  diagmae_vit_10pct seed2 [last.pt]: 25-shot test 29.52
  diagmae_vit_1pct seed0 [last.pt]: 25-shot test 8.54
  diagmae_vit_1pct seed1 [last.pt]: 25-shot test 9.07
  diagmae_vit_1pct seed2 [last.pt]: 25-shot test 9.14
  diagmae_vit_25pct seed0 [last.pt]: 25-shot test 40.33
  diagmae_vit_25pct seed1 [last.pt]: 25-shot test 44.07
  diagmae_vit_25pct seed2 [last.pt]: 25-shot test 43.06
  diagmae_vit_2pct seed0 [last.pt]: 25-shot test 11.40
  diagmae_vit_2pct seed1 [last.pt]: 25-shot test 10.24
  diagmae_vit_2pct seed2 [last.pt]: 25-shot test 11.21
  diagmae_vit_5pct seed0 [last.pt]: 25-shot test 21.65
  diagmae_vit_5pct seed1 [last.pt]: 25-shot test 18.05
  diagmae_vit_5pct seed2 [last.pt]: 25-shot test 21.83
  diagsslvit_simclr_10pct seed0 [last.pt]: 25-shot test 30.48
  diagsslvit_simclr_10pct seed1 [last.pt]: 25-shot test 30.17
  diagsslvit_simclr_10pct seed2 [last.pt]: 25-shot test 28.89
  diagsslvit_simclr_1pct seed0 [last.pt]: 25-shot test 8.89
  diagsslvit_simclr_1pct seed1 [last.pt]: 25-shot test 9.21
  diagsslvit_simclr_1pct seed2 [last.pt]: 25-shot test 9.04
  diagsslvit_simclr_25pct seed0 [last.pt]: 25-shot test 43.24
  diagsslvit_simclr_25pct seed1 [last.pt]: 25-shot test 43.80
  diagsslvit_simclr_25pct seed2 [last.pt]: 25-shot test 43.48
  diagsslvit_simclr_5pct seed0 [last.pt]: 25-shot test 20.95
  diagsslvit_simclr_5pct seed1 [last.pt]: 25-shot test 20.94
  diagsslvit_simclr_5pct seed2 [last.pt]: 25-shot test 19.46
  diagvit_aux_100pct seed0 [last.pt]: 25-shot test 60.05
  diagvit_aux_100pct seed1 [last.pt]: 25-shot test 59.65
  diagvit_aux_100pct seed2 [last.pt]: 25-shot test 59.15
  diagvit_aux_10pct seed0 [last.pt]: 25-shot test 29.41
  diagvit_aux_10pct seed1 [last.pt]: 25-shot test 29.25
  diagvit_aux_10pct seed2 [last.pt]: 25-shot test 29.96
  diagvit_aux_15pct seed0 [last.pt]: 25-shot test 35.34
  diagvit_aux_15pct seed1 [last.pt]: 25-shot test 35.43
  diagvit_aux_15pct seed2 [last.pt]: 25-shot test 35.26
  diagvit_aux_1pct seed0 [last.pt]: 25-shot test 11.17
  diagvit_aux_1pct seed1 [last.pt]: 25-shot test 11.03
  diagvit_aux_1pct seed2 [last.pt]: 25-shot test 10.88
  diagvit_aux_25pct seed0 [last.pt]: 25-shot test 41.41
  diagvit_aux_25pct seed1 [last.pt]: 25-shot test 41.93
  diagvit_aux_25pct seed2 [last.pt]: 25-shot test 42.25
  diagvit_aux_2pct seed0 [last.pt]: 25-shot test 13.10
  diagvit_aux_2pct seed1 [last.pt]: 25-shot test 13.70
  diagvit_aux_2pct seed2 [last.pt]: 25-shot test 13.19
  diagvit_aux_3pct seed0 [last.pt]: 25-shot test 16.18
  diagvit_aux_3pct seed1 [last.pt]: 25-shot test 15.15
  diagvit_aux_3pct seed2 [last.pt]: 25-shot test 16.23
  diagvit_aux_5pct seed0 [last.pt]: 25-shot test 21.26
  diagvit_aux_5pct seed1 [last.pt]: 25-shot test 21.42
  diagvit_aux_5pct seed2 [last.pt]: 25-shot test 21.97
  diagvit_aux_7pct seed0 [last.pt]: 25-shot test 25.38
  diagvit_aux_7pct seed1 [last.pt]: 25-shot test 25.07
  diagvit_aux_7pct seed2 [last.pt]: 25-shot test 25.23
  diagvit_none_100pct seed0 [last.pt]: 25-shot test 49.40
  diagvit_none_100pct seed1 [last.pt]: 25-shot test 50.23
  diagvit_none_100pct seed2 [last.pt]: 25-shot test 50.34
  diagvit_none_10pct seed0 [last.pt]: 25-shot test 17.15
  diagvit_none_10pct seed1 [last.pt]: 25-shot test 16.06
  diagvit_none_10pct seed2 [last.pt]: 25-shot test 16.42
  diagvit_none_15pct seed0 [last.pt]: 25-shot test 20.72
  diagvit_none_15pct seed1 [last.pt]: 25-shot test 21.31
  diagvit_none_15pct seed2 [last.pt]: 25-shot test 21.49
  diagvit_none_1pct seed0 [last.pt]: 25-shot test 8.42
  diagvit_none_1pct seed1 [last.pt]: 25-shot test 8.31
  diagvit_none_1pct seed2 [last.pt]: 25-shot test 8.90
  diagvit_none_25pct seed0 [last.pt]: 25-shot test 27.84
