pretrain optimizer: sgd lr=0.3
pretrain epoch 1/800 loss 5.1986
pretrain epoch 10/800 loss 4.5489
pretrain epoch 20/800 loss 3.9197
pretrain epoch 30/800 loss 3.5508
pretrain epoch 40/800 loss 3.4036
pretrain epoch 50/800 loss 3.2125
pretrain epoch 60/800 loss 3.1014
pretrain epoch 70/800 loss 2.9112
pretrain epoch 80/800 loss 2.8109
pretrain epoch 90/800 loss 2.7110
pretrain epoch 100/800 loss 2.6450
pretrain epoch 110/800 loss 2.6069
pretrain epoch 120/800 loss 2.5512
pretrain epoch 130/800 loss 2.5211
pretrain epoch 140/800 loss 2.4539
pretrain epoch 150/800 loss 2.3860
pretrain epoch 160/800 loss 2.3666
pretrain epoch 170/800 loss 2.3345
pretrain epoch 180/800 loss 2.2844
pretrain epoch 190/800 loss 2.2124
pretrain epoch 200/800 loss 2.2017
pretrain epoch 210/800 loss 2.1521
pretrain epoch 220/800 loss 2.1123
pretrain epoch 230/800 loss 2.1203
pretrain epoch 240/800 loss 2.0445
pretrain epoch 250/800 loss 2.0612
pretrain epoch 260/800 loss 2.0269
pretrain epoch 270/800 loss 1.9928
pretrain epoch 280/800 loss 1.9535
pretrain epoch 290/800 loss 1.9344
pretrain epoch 300/800 loss 1.9490
pretrain epoch 310/800 loss 1.8916
pretrain epoch 320/800 loss 1.8411
pretrain epoch 330/800 loss 1.8289
pretrain epoch 340/800 loss 1.8153
pretrain epoch 350/800 loss 1.7828
pretrain epoch 360/800 loss 1.7832
pretrain epoch 370/800 loss 1.7506
pretrain epoch 380/800 loss 1.7560
pretrain epoch 390/800 loss 1.7053
pretrain epoch 400/800 loss 1.6484
pretrain epoch 410/800 loss 1.6635
pretrain epoch 420/800 loss 1.6311
pretrain epoch 430/800 loss 1.6277
pretrain epoch 440/800 loss 1.6183
pretrain epoch 450/800 loss 1.5621
pretrain epoch 460/800 loss 1.5660
pretrain epoch 470/800 loss 1.5514
pretrain epoch 480/800 loss 1.5432
pretrain epoch 490/800 loss 1.5257
pretrain epoch 500/800 loss 1.5085
pretrain epoch 510/800 loss 1.5033
pretrain epoch 520/800 loss 1.4720
pretrain epoch 530/800 loss 1.4644
pretrain epoch 540/800 loss 1.4330
pretrain epoch 550/800 loss 1.4210
pretrain epoch 560/800 loss 1.4487
pretrain epoch 570/800 loss 1.3797
pretrain epoch 580/800 loss 1.3907
pretrain epoch 590/800 loss 1.3846
pretrain epoch 600/800 loss 1.3680
pretrain epoch 610/800 loss 1.3615
pretrain epoch 620/800 loss 1.3355
pretrain epoch 630/800 loss 1.3492
pretrain epoch 640/800 loss 1.3304
pretrain epoch 650/800 loss 1.3073
pretrain epoch 660/800 loss 1.3093
pretrain epoch 670/800 loss 1.2978
pretrain epoch 680/800 loss 1.2825
pretrain epoch 690/800 loss 1.2915
pretrain epoch 700/800 loss 1.2813
pretrain epoch 710/800 loss 1.2816
pretrain epoch 720/800 loss 1.2742
pretrain epoch 730/800 loss 1.2784
pretrain epoch 740/800 loss 1.2724
pretrain epoch 750/800 loss 1.2688
pretrain epoch 760/800 loss 1.2710
pretrain epoch 770/800 loss 1.2801
pretrain epoch 780/800 loss 1.2683
pretrain epoch 790/800 loss 1.2695
pretrain epoch 800/800 loss 1.2699
saved 120 tensors (15200 steps) -> runs/simclr_pre800_c100_5pct/seed2/pretrain.pt
