pretrain optimizer: adamw lr=0.001
pretrain epoch 1/800 loss 4.6778
pretrain epoch 10/800 loss 2.9197
pretrain epoch 20/800 loss 2.6542
pretrain epoch 30/800 loss 2.5129
pretrain epoch 40/800 loss 2.4017
pretrain epoch 50/800 loss 2.3012
pretrain epoch 60/800 loss 2.2502
pretrain epoch 70/800 loss 2.1876
pretrain epoch 80/800 loss 2.1562
pretrain epoch 90/800 loss 2.1253
pretrain epoch 100/800 loss 2.0949
pretrain epoch 110/800 loss 2.0796
pretrain epoch 120/800 loss 2.0506
pretrain epoch 130/800 loss 2.0345
pretrain epoch 140/800 loss 2.0072
pretrain epoch 150/800 loss 2.0047
pretrain epoch 160/800 loss 1.9844
pretrain epoch 170/800 loss 1.9736
pretrain epoch 180/800 loss 1.9700
pretrain epoch 190/800 loss 1.9540
pretrain epoch 200/800 loss 1.9400
pretrain epoch 210/800 loss 1.9306
pretrain epoch 220/800 loss 1.9233
pretrain epoch 230/800 loss 1.9209
pretrain epoch 240/800 loss 1.9118
pretrain epoch 250/800 loss 1.9008
pretrain epoch 260/800 loss 1.8887
pretrain epoch 270/800 loss 1.8818
pretrain epoch 280/800 loss 1.8716
pretrain epoch 290/800 loss 1.8677
pretrain epoch 300/800 loss 1.8600
pretrain epoch 310/800 loss 1.8507
pretrain epoch 320/800 loss 1.8398
pretrain epoch 330/800 loss 1.8354
pretrain epoch 340/800 loss 1.8319
pretrain epoch 350/800 loss 1.8281
pretrain epoch 360/800 loss 1.8116
pretrain epoch 370/800 loss 1.8073
pretrain epoch 380/800 loss 1.7995
pretrain epoch 390/800 loss 1.7992
pretrain epoch 400/800 loss 1.7903
pretrain epoch 410/800 loss 1.7725
pretrain epoch 420/800 loss 1.7717
pretrain epoch 430/800 loss 1.7684
pretrain epoch 440/800 loss 1.7556
pretrain epoch 450/800 loss 1.7424
pretrain epoch 460/800 loss 1.7518
pretrain epoch 470/800 loss 1.7395
pretrain epoch 480/800 loss 1.7268
pretrain epoch 490/800 loss 1.7132
pretrain epoch 500/800 loss 1.7074
pretrain epoch 510/800 loss 1.7047
pretrain epoch 520/800 loss 1.7043
pretrain epoch 530/800 loss 1.6952
pretrain epoch 540/800 loss 1.6814
pretrain epoch 550/800 loss 1.6781
pretrain epoch 560/800 loss 1.6684
pretrain epoch 570/800 loss 1.6621
pretrain epoch 580/800 loss 1.6464
pretrain epoch 590/800 loss 1.6456
pretrain epoch 600/800 loss 1.6370
pretrain epoch 610/800 loss 1.6291
pretrain epoch 620/800 loss 1.6279
pretrain epoch 630/800 loss 1.6192
pretrain epoch 640/800 loss 1.6163
pretrain epoch 650/800 loss 1.6084
pretrain epoch 660/800 loss 1.6036
pretrain epoch 670/800 loss 1.5954
pretrain epoch 680/800 loss 1.5885
pretrain epoch 690/800 loss 1.5776
pretrain epoch 700/800 loss 1.5733
pretrain epoch 710/800 loss 1.5752
pretrain epoch 720/800 loss 1.5664
pretrain epoch 730/800 loss 1.5705
pretrain epoch 740/800 loss 1.5638
pretrain epoch 750/800 loss 1.5600
pretrain epoch 760/800 loss 1.5644
pretrain epoch 770/800 loss 1.5588
pretrain epoch 780/800 loss 1.5563
pretrain epoch 790/800 loss 1.5609
pretrain epoch 800/800 loss 1.5584
saved 150 tensors (156000 steps) -> runs/simclr_pre800_vit_tin_25pct/seed0/pretrain.pt
