pretrain optimizer: sgd lr=0.3
pretrain epoch 1/800 loss 4.8229
pretrain epoch 10/800 loss 3.2423
pretrain epoch 20/800 loss 2.7534
pretrain epoch 30/800 loss 2.5338
pretrain epoch 40/800 loss 2.4165
pretrain epoch 50/800 loss 2.3261
pretrain epoch 60/800 loss 2.2641
pretrain epoch 70/800 loss 2.2108
pretrain epoch 80/800 loss 2.1860
pretrain epoch 90/800 loss 2.1641
pretrain epoch 100/800 loss 2.1194
pretrain epoch 110/800 loss 2.1004
pretrain epoch 120/800 loss 2.0937
pretrain epoch 130/800 loss 2.0451
pretrain epoch 140/800 loss 2.0616
pretrain epoch 150/800 loss 2.0477
pretrain epoch 160/800 loss 2.0184
pretrain epoch 170/800 loss 2.0227
pretrain epoch 180/800 loss 2.0111
pretrain epoch 190/800 loss 1.9994
pretrain epoch 200/800 loss 1.9885
pretrain epoch 210/800 loss 1.9756
pretrain epoch 220/800 loss 1.9600
pretrain epoch 230/800 loss 1.9659
pretrain epoch 240/800 loss 1.9507
pretrain epoch 250/800 loss 1.9627
pretrain epoch 260/800 loss 1.9390
pretrain epoch 270/800 loss 1.9367
pretrain epoch 280/800 loss 1.9192
pretrain epoch 290/800 loss 1.9035
pretrain epoch 300/800 loss 1.9219
pretrain epoch 310/800 loss 1.8901
pretrain epoch 320/800 loss 1.8870
pretrain epoch 330/800 loss 1.8822
pretrain epoch 340/800 loss 1.8785
pretrain epoch 350/800 loss 1.8461
pretrain epoch 360/800 loss 1.8510
pretrain epoch 370/800 loss 1.8420
pretrain epoch 380/800 loss 1.8251
pretrain epoch 390/800 loss 1.8092
pretrain epoch 400/800 loss 1.8074
pretrain epoch 410/800 loss 1.8039
pretrain epoch 420/800 loss 1.7896
pretrain epoch 430/800 loss 1.7807
pretrain epoch 440/800 loss 1.7835
pretrain epoch 450/800 loss 1.7494
pretrain epoch 460/800 loss 1.7371
pretrain epoch 470/800 loss 1.7241
pretrain epoch 480/800 loss 1.7125
pretrain epoch 490/800 loss 1.7125
pretrain epoch 500/800 loss 1.6937
pretrain epoch 510/800 loss 1.6791
pretrain epoch 520/800 loss 1.6625
pretrain epoch 530/800 loss 1.6537
pretrain epoch 540/800 loss 1.6360
pretrain epoch 550/800 loss 1.6345
pretrain epoch 560/800 loss 1.6119
pretrain epoch 570/800 loss 1.5911
pretrain epoch 580/800 loss 1.5779
pretrain epoch 590/800 loss 1.5702
pretrain epoch 600/800 loss 1.5417
pretrain epoch 610/800 loss 1.5284
pretrain epoch 620/800 loss 1.5206
pretrain epoch 630/800 loss 1.5022
pretrain epoch 640/800 loss 1.4944
pretrain epoch 650/800 loss 1.4762
pretrain epoch 660/800 loss 1.4676
pretrain epoch 670/800 loss 1.4426
pretrain epoch 680/800 loss 1.4323
pretrain epoch 690/800 loss 1.4165
pretrain epoch 700/800 loss 1.4049
pretrain epoch 710/800 loss 1.3919
pretrain epoch 720/800 loss 1.3800
pretrain epoch 730/800 loss 1.3767
pretrain epoch 740/800 loss 1.3645
pretrain epoch 750/800 loss 1.3645
pretrain epoch 760/800 loss 1.3609
pretrain epoch 770/800 loss 1.3556
pretrain epoch 780/800 loss 1.3525
pretrain epoch 790/800 loss 1.3480
pretrain epoch 800/800 loss 1.3486
saved 120 tensors (77600 steps) -> runs/simclr_pre800_c100_25pct/seed1/pretrain.pt
