pretrain optimizer: sgd lr=0.3
pretrain epoch 1/800 loss 5.0696
pretrain epoch 10/800 loss 4.2868
pretrain epoch 20/800 loss 3.7393
pretrain epoch 30/800 loss 3.4557
pretrain epoch 40/800 loss 3.3561
pretrain epoch 50/800 loss 3.1842
pretrain epoch 60/800 loss 3.0081
pretrain epoch 70/800 loss 2.8686
pretrain epoch 80/800 loss 2.7479
pretrain epoch 90/800 loss 2.6809
pretrain epoch 100/800 loss 2.6195
pretrain epoch 110/800 loss 2.5408
pretrain epoch 120/800 loss 2.5070
pretrain epoch 130/800 loss 2.4319
pretrain epoch 140/800 loss 2.3835
pretrain epoch 150/800 loss 2.3386
pretrain epoch 160/800 loss 2.3166
pretrain epoch 170/800 loss 2.2615
pretrain epoch 180/800 loss 2.2195
pretrain epoch 190/800 loss 2.1781
pretrain epoch 200/800 loss 2.1444
pretrain epoch 210/800 loss 2.1212
pretrain epoch 220/800 loss 2.0906
pretrain epoch 230/800 loss 2.0670
pretrain epoch 240/800 loss 2.0326
pretrain epoch 250/800 loss 2.0407
pretrain epoch 260/800 loss 1.9828
pretrain epoch 270/800 loss 1.9787
pretrain epoch 280/800 loss 1.9194
pretrain epoch 290/800 loss 1.9392
pretrain epoch 300/800 loss 1.8862
pretrain epoch 310/800 loss 1.8657
pretrain epoch 320/800 loss 1.8237
pretrain epoch 330/800 loss 1.8080
pretrain epoch 340/800 loss 1.7823
pretrain epoch 350/800 loss 1.7703
pretrain epoch 360/800 loss 1.7461
pretrain epoch 370/800 loss 1.7222
pretrain epoch 380/800 loss 1.6842
pretrain epoch 390/800 loss 1.6865
pretrain epoch 400/800 loss 1.6476
pretrain epoch 410/800 loss 1.6254
pretrain epoch 420/800 loss 1.6139
pretrain epoch 430/800 loss 1.5990
pretrain epoch 440/800 loss 1.5862
pretrain epoch 450/800 loss 1.5564
pretrain epoch 460/800 loss 1.5410
pretrain epoch 470/800 loss 1.5359
pretrain epoch 480/800 loss 1.5314
pretrain epoch 490/800 loss 1.4893
pretrain epoch 500/800 loss 1.4721
pretrain epoch 510/800 loss 1.4627
pretrain epoch 520/800 loss 1.4420
pretrain epoch 530/800 loss 1.4217
pretrain epoch 540/800 loss 1.4222
pretrain epoch 550/800 loss 1.4078
pretrain epoch 560/800 loss 1.3984
pretrain epoch 570/800 loss 1.3841
pretrain epoch 580/800 loss 1.3938
pretrain epoch 590/800 loss 1.3494
pretrain epoch 600/800 loss 1.3593
pretrain epoch 610/800 loss 1.3366
pretrain epoch 620/800 loss 1.3193
pretrain epoch 630/800 loss 1.3182
pretrain epoch 640/800 loss 1.3048
pretrain epoch 650/800 loss 1.3193
pretrain epoch 660/800 loss 1.2996
pretrain epoch 670/800 loss 1.2821
pretrain epoch 680/800 loss 1.2911
pretrain epoch 690/800 loss 1.2806
pretrain epoch 700/800 loss 1.2714
pretrain epoch 710/800 loss 1.2637
pretrain epoch 720/800 loss 1.2654
pretrain epoch 730/800 loss 1.2666
pretrain epoch 740/800 loss 1.2600
pretrain epoch 750/800 loss 1.2569
pretrain epoch 760/800 loss 1.2512
pretrain epoch 770/800 loss 1.2541
pretrain epoch 780/800 loss 1.2604
pretrain epoch 790/800 loss 1.2429
pretrain epoch 800/800 loss 1.2580
saved 120 tensors (15200 steps) -> runs/simclr_pre800_c100_5pct/seed0/pretrain.pt
