pretrain optimizer: sgd lr=0.3
pretrain epoch 1/800 loss 5.0522
pretrain epoch 10/800 loss 4.2641
pretrain epoch 20/800 loss 3.6839
pretrain epoch 30/800 loss 3.4055
pretrain epoch 40/800 loss 3.1995
pretrain epoch 50/800 loss 3.0819
pretrain epoch 60/800 loss 2.9795
pretrain epoch 70/800 loss 2.8912
pretrain epoch 80/800 loss 2.7915
pretrain epoch 90/800 loss 2.7295
pretrain epoch 100/800 loss 2.6075
pretrain epoch 110/800 loss 2.5739
pretrain epoch 120/800 loss 2.4930
pretrain epoch 130/800 loss 2.4573
pretrain epoch 140/800 loss 2.3926
pretrain epoch 150/800 loss 2.3605
pretrain epoch 160/800 loss 2.3017
pretrain epoch 170/800 loss 2.2829
pretrain epoch 180/800 loss 2.2286
pretrain epoch 190/800 loss 2.1793
pretrain epoch 200/800 loss 2.1439
pretrain epoch 210/800 loss 2.1377
pretrain epoch 220/800 loss 2.1071
pretrain epoch 230/800 loss 2.0612
pretrain epoch 240/800 loss 2.0178
pretrain epoch 250/800 loss 2.0191
pretrain epoch 260/800 loss 2.0018
pretrain epoch 270/800 loss 1.9395
pretrain epoch 280/800 loss 1.9416
pretrain epoch 290/800 loss 1.9115
pretrain epoch 300/800 loss 1.8702
pretrain epoch 310/800 loss 1.8561
pretrain epoch 320/800 loss 1.8362
pretrain epoch 330/800 loss 1.8099
pretrain epoch 340/800 loss 1.7774
pretrain epoch 350/800 loss 1.7536
pretrain epoch 360/800 loss 1.7714
pretrain epoch 370/800 loss 1.7328
pretrain epoch 380/800 loss 1.6955
pretrain epoch 390/800 loss 1.6753
pretrain epoch 400/800 loss 1.6607
pretrain epoch 410/800 loss 1.6129
pretrain epoch 420/800 loss 1.6196
pretrain epoch 430/800 loss 1.6019
pretrain epoch 440/800 loss 1.5744
pretrain epoch 450/800 loss 1.5603
pretrain epoch 460/800 loss 1.5546
pretrain epoch 470/800 loss 1.5406
pretrain epoch 480/800 loss 1.5328
pretrain epoch 490/800 loss 1.5151
pretrain epoch 500/800 loss 1.4971
pretrain epoch 510/800 loss 1.4671
pretrain epoch 520/800 loss 1.4563
pretrain epoch 530/800 loss 1.4386
pretrain epoch 540/800 loss 1.4024
pretrain epoch 550/800 loss 1.4074
pretrain epoch 560/800 loss 1.3889
pretrain epoch 570/800 loss 1.3694
pretrain epoch 580/800 loss 1.3563
pretrain epoch 590/800 loss 1.3779
pretrain epoch 600/800 loss 1.3523
pretrain epoch 610/800 loss 1.3415
pretrain epoch 620/800 loss 1.3241
pretrain epoch 630/800 loss 1.3352
pretrain epoch 640/800 loss 1.3125
pretrain epoch 650/800 loss 1.3036
pretrain epoch 660/800 loss 1.3115
pretrain epoch 670/800 loss 1.2763
pretrain epoch 680/800 loss 1.2951
pretrain epoch 690/800 loss 1.2878
pretrain epoch 700/800 loss 1.2677
pretrain epoch 710/800 loss 1.2660
pretrain epoch 720/800 loss 1.2706
pretrain epoch 730/800 loss 1.2665
pretrain epoch 740/800 loss 1.2551
pretrain epoch 750/800 loss 1.2551
pretrain epoch 760/800 loss 1.2650
pretrain epoch 770/800 loss 1.2592
pretrain epoch 780/800 loss 1.2582
pretrain epoch 790/800 loss 1.2635
pretrain epoch 800/800 loss 1.2517
saved 120 tensors (15200 steps) -> runs/simclr_pre800_c100_5pct/seed1/pretrain.pt
