pretrain optimizer: sgd lr=0.3
pretrain epoch 1/800 loss 4.8470
pretrain epoch 10/800 loss 3.2621
pretrain epoch 20/800 loss 2.7309
pretrain epoch 30/800 loss 2.5069
pretrain epoch 40/800 loss 2.4108
pretrain epoch 50/800 loss 2.3048
pretrain epoch 60/800 loss 2.2595
pretrain epoch 70/800 loss 2.2256
pretrain epoch 80/800 loss 2.1781
pretrain epoch 90/800 loss 2.1364
pretrain epoch 100/800 loss 2.1164
pretrain epoch 110/800 loss 2.1034
pretrain epoch 120/800 loss 2.0842
pretrain epoch 130/800 loss 2.0693
pretrain epoch 140/800 loss 2.0523
pretrain epoch 150/800 loss 2.0591
pretrain epoch 160/800 loss 2.0323
pretrain epoch 170/800 loss 2.0176
pretrain epoch 180/800 loss 2.0093
pretrain epoch 190/800 loss 2.0021
pretrain epoch 200/800 loss 1.9797
pretrain epoch 210/800 loss 1.9664
pretrain epoch 220/800 loss 1.9604
pretrain epoch 230/800 loss 1.9647
pretrain epoch 240/800 loss 1.9517
pretrain epoch 250/800 loss 1.9420
pretrain epoch 260/800 loss 1.9448
pretrain epoch 270/800 loss 1.9261
pretrain epoch 280/800 loss 1.9125
pretrain epoch 290/800 loss 1.9150
pretrain epoch 300/800 loss 1.9000
pretrain epoch 310/800 loss 1.9022
pretrain epoch 320/800 loss 1.8812
pretrain epoch 330/800 loss 1.8656
pretrain epoch 340/800 loss 1.8658
pretrain epoch 350/800 loss 1.8696
pretrain epoch 360/800 loss 1.8442
pretrain epoch 370/800 loss 1.8439
pretrain epoch 380/800 loss 1.8272
pretrain epoch 390/800 loss 1.8106
pretrain epoch 400/800 loss 1.8095
pretrain epoch 410/800 loss 1.8016
pretrain epoch 420/800 loss 1.7872
pretrain epoch 430/800 loss 1.7756
pretrain epoch 440/800 loss 1.7790
pretrain epoch 450/800 loss 1.7507
pretrain epoch 460/800 loss 1.7514
pretrain epoch 470/800 loss 1.7284
pretrain epoch 480/800 loss 1.7247
pretrain epoch 490/800 loss 1.7086
pretrain epoch 500/800 loss 1.6912
pretrain epoch 510/800 loss 1.6709
pretrain epoch 520/800 loss 1.6579
pretrain epoch 530/800 loss 1.6555
pretrain epoch 540/800 loss 1.6452
pretrain epoch 550/800 loss 1.6267
pretrain epoch 560/800 loss 1.6141
pretrain epoch 570/800 loss 1.6036
pretrain epoch 580/800 loss 1.5754
pretrain epoch 590/800 loss 1.5782
pretrain epoch 600/800 loss 1.5412
pretrain epoch 610/800 loss 1.5318
pretrain epoch 620/800 loss 1.5208
pretrain epoch 630/800 loss 1.5065
pretrain epoch 640/800 loss 1.4749
pretrain epoch 650/800 loss 1.4766
pretrain epoch 660/800 loss 1.4583
pretrain epoch 670/800 loss 1.4479
pretrain epoch 680/800 loss 1.4303
pretrain epoch 690/800 loss 1.4135
pretrain epoch 700/800 loss 1.4033
pretrain epoch 710/800 loss 1.4022
pretrain epoch 720/800 loss 1.3834
pretrain epoch 730/800 loss 1.3769
pretrain epoch 740/800 loss 1.3651
pretrain epoch 750/800 loss 1.3625
pretrain epoch 760/800 loss 1.3542
pretrain epoch 770/800 loss 1.3590
pretrain epoch 780/800 loss 1.3544
pretrain epoch 790/800 loss 1.3421
pretrain epoch 800/800 loss 1.3426
saved 120 tensors (77600 steps) -> runs/simclr_pre800_c100_25pct/seed2/pretrain.pt
