pretrain optimizer: sgd lr=0.3
pretrain epoch 1/800 loss 4.8571
pretrain epoch 10/800 loss 3.5136
pretrain epoch 20/800 loss 3.0993
pretrain epoch 30/800 loss 2.7905
pretrain epoch 40/800 loss 2.6239
pretrain epoch 50/800 loss 2.5009
pretrain epoch 60/800 loss 2.4316
pretrain epoch 70/800 loss 2.3407
pretrain epoch 80/800 loss 2.3098
pretrain epoch 90/800 loss 2.2494
pretrain epoch 100/800 loss 2.2083
pretrain epoch 110/800 loss 2.1854
pretrain epoch 120/800 loss 2.1479
pretrain epoch 130/800 loss 2.1317
pretrain epoch 140/800 loss 2.0996
pretrain epoch 150/800 loss 2.0882
pretrain epoch 160/800 loss 2.0725
pretrain epoch 170/800 loss 2.0504
pretrain epoch 180/800 loss 2.0156
pretrain epoch 190/800 loss 2.0142
pretrain epoch 200/800 loss 2.0121
pretrain epoch 210/800 loss 2.0145
pretrain epoch 220/800 loss 1.9746
pretrain epoch 230/800 loss 1.9679
pretrain epoch 240/800 loss 1.9555
pretrain epoch 250/800 loss 1.9227
pretrain epoch 260/800 loss 1.9160
pretrain epoch 270/800 loss 1.9079
pretrain epoch 280/800 loss 1.8920
pretrain epoch 290/800 loss 1.8815
pretrain epoch 300/800 loss 1.8640
pretrain epoch 310/800 loss 1.8491
pretrain epoch 320/800 loss 1.8414
pretrain epoch 330/800 loss 1.8404
pretrain epoch 340/800 loss 1.8196
pretrain epoch 350/800 loss 1.7927
pretrain epoch 360/800 loss 1.7886
pretrain epoch 370/800 loss 1.7704
pretrain epoch 380/800 loss 1.7631
pretrain epoch 390/800 loss 1.7367
pretrain epoch 400/800 loss 1.7544
pretrain epoch 410/800 loss 1.7201
pretrain epoch 420/800 loss 1.6940
pretrain epoch 430/800 loss 1.6929
pretrain epoch 440/800 loss 1.6963
pretrain epoch 450/800 loss 1.6748
pretrain epoch 460/800 loss 1.6599
pretrain epoch 470/800 loss 1.6472
pretrain epoch 480/800 loss 1.6361
pretrain epoch 490/800 loss 1.6202
pretrain epoch 500/800 loss 1.6001
pretrain epoch 510/800 loss 1.5904
pretrain epoch 520/800 loss 1.5764
pretrain epoch 530/800 loss 1.5535
pretrain epoch 540/800 loss 1.5322
pretrain epoch 550/800 loss 1.5325
pretrain epoch 560/800 loss 1.5200
pretrain epoch 570/800 loss 1.4922
pretrain epoch 580/800 loss 1.4812
pretrain epoch 590/800 loss 1.4837
pretrain epoch 600/800 loss 1.4541
pretrain epoch 610/800 loss 1.4463
pretrain epoch 620/800 loss 1.4261
pretrain epoch 630/800 loss 1.4095
pretrain epoch 640/800 loss 1.4018
pretrain epoch 650/800 loss 1.3876
pretrain epoch 660/800 loss 1.3771
pretrain epoch 670/800 loss 1.3651
pretrain epoch 680/800 loss 1.3494
pretrain epoch 690/800 loss 1.3470
pretrain epoch 700/800 loss 1.3282
pretrain epoch 710/800 loss 1.3246
pretrain epoch 720/800 loss 1.3144
pretrain epoch 730/800 loss 1.3108
pretrain epoch 740/800 loss 1.3078
pretrain epoch 750/800 loss 1.3011
pretrain epoch 760/800 loss 1.2969
pretrain epoch 770/800 loss 1.2899
pretrain epoch 780/800 loss 1.2944
pretrain epoch 790/800 loss 1.3010
pretrain epoch 800/800 loss 1.2953
saved 120 tensors (46400 steps) -> runs/simclr_pre800_c100_15pct/seed2/pretrain.pt
