pretrain optimizer: adamw lr=0.001
pretrain epoch 1/800 loss 5.1367
pretrain epoch 10/800 loss 4.0235
pretrain epoch 20/800 loss 3.4737
pretrain epoch 30/800 loss 3.2173
pretrain epoch 40/800 loss 3.0503
pretrain epoch 50/800 loss 2.9108
pretrain epoch 60/800 loss 2.8647
pretrain epoch 70/800 loss 2.7819
pretrain epoch 80/800 loss 2.6956
pretrain epoch 90/800 loss 2.6501
pretrain epoch 100/800 loss 2.5911
pretrain epoch 110/800 loss 2.5959
pretrain epoch 120/800 loss 2.5193
pretrain epoch 130/800 loss 2.4968
pretrain epoch 140/800 loss 2.4826
pretrain epoch 150/800 loss 2.4157
pretrain epoch 160/800 loss 2.4127
pretrain epoch 170/800 loss 2.3477
pretrain epoch 180/800 loss 2.3633
pretrain epoch 190/800 loss 2.3135
pretrain epoch 200/800 loss 2.2876
pretrain epoch 210/800 loss 2.2773
pretrain epoch 220/800 loss 2.2531
pretrain epoch 230/800 loss 2.2138
pretrain epoch 240/800 loss 2.1880
pretrain epoch 250/800 loss 2.1682
pretrain epoch 260/800 loss 2.1414
pretrain epoch 270/800 loss 2.1266
pretrain epoch 280/800 loss 2.1072
pretrain epoch 290/800 loss 2.0798
pretrain epoch 300/800 loss 2.0423
pretrain epoch 310/800 loss 2.0404
pretrain epoch 320/800 loss 2.0170
pretrain epoch 330/800 loss 2.0073
pretrain epoch 340/800 loss 1.9963
pretrain epoch 350/800 loss 1.9780
pretrain epoch 360/800 loss 1.9415
pretrain epoch 370/800 loss 1.9400
pretrain epoch 380/800 loss 1.9169
pretrain epoch 390/800 loss 1.8912
pretrain epoch 400/800 loss 1.8870
pretrain epoch 410/800 loss 1.8483
pretrain epoch 420/800 loss 1.8465
pretrain epoch 430/800 loss 1.8246
pretrain epoch 440/800 loss 1.8085
pretrain epoch 450/800 loss 1.7926
pretrain epoch 460/800 loss 1.7989
pretrain epoch 470/800 loss 1.7759
pretrain epoch 480/800 loss 1.7514
pretrain epoch 490/800 loss 1.7349
pretrain epoch 500/800 loss 1.7376
pretrain epoch 510/800 loss 1.7194
pretrain epoch 520/800 loss 1.6980
pretrain epoch 530/800 loss 1.7132
pretrain epoch 540/800 loss 1.6931
pretrain epoch 550/800 loss 1.6875
pretrain epoch 560/800 loss 1.6718
pretrain epoch 570/800 loss 1.6512
pretrain epoch 580/800 loss 1.6402
pretrain epoch 590/800 loss 1.6426
pretrain epoch 600/800 loss 1.6360
pretrain epoch 610/800 loss 1.6142
pretrain epoch 620/800 loss 1.6122
pretrain epoch 630/800 loss 1.6116
pretrain epoch 640/800 loss 1.6131
pretrain epoch 650/800 loss 1.5846
pretrain epoch 660/800 loss 1.5860
pretrain epoch 670/800 loss 1.5742
pretrain epoch 680/800 loss 1.5830
pretrain epoch 690/800 loss 1.5625
pretrain epoch 700/800 loss 1.5692
pretrain epoch 710/800 loss 1.5814
pretrain epoch 720/800 loss 1.5661
pretrain epoch 730/800 loss 1.5577
pretrain epoch 740/800 loss 1.5550
pretrain epoch 750/800 loss 1.5568
pretrain epoch 760/800 loss 1.5579
pretrain epoch 770/800 loss 1.5586
pretrain epoch 780/800 loss 1.5531
pretrain epoch 790/800 loss 1.5633
pretrain epoch 800/800 loss 1.5599
saved 150 tensors (31200 steps) -> runs/simclr_pre800_vit_tin_5pct/seed0/pretrain.pt
