pretrain optimizer: sgd lr=0.3
pretrain epoch 1/800 loss 5.2106
pretrain epoch 10/800 loss 4.7168
pretrain epoch 20/800 loss 4.4307
pretrain epoch 30/800 loss 4.2187
pretrain epoch 40/800 loss 3.9356
pretrain epoch 50/800 loss 3.7516
pretrain epoch 60/800 loss 3.5973
pretrain epoch 70/800 loss 3.4436
pretrain epoch 80/800 loss 3.4096
pretrain epoch 90/800 loss 3.3320
pretrain epoch 100/800 loss 3.1984
pretrain epoch 110/800 loss 3.0971
pretrain epoch 120/800 loss 3.1358
pretrain epoch 130/800 loss 3.0433
pretrain epoch 140/800 loss 3.0052
pretrain epoch 150/800 loss 2.9124
pretrain epoch 160/800 loss 2.7577
pretrain epoch 170/800 loss 2.7019
pretrain epoch 180/800 loss 2.6817
pretrain epoch 190/800 loss 2.6816
pretrain epoch 200/800 loss 2.6153
pretrain epoch 210/800 loss 2.5702
pretrain epoch 220/800 loss 2.5182
pretrain epoch 230/800 loss 2.4760
pretrain epoch 240/800 loss 2.4370
pretrain epoch 250/800 loss 2.4347
pretrain epoch 260/800 loss 2.3293
pretrain epoch 270/800 loss 2.3427
pretrain epoch 280/800 loss 2.3130
pretrain epoch 290/800 loss 2.2649
pretrain epoch 300/800 loss 2.2052
pretrain epoch 310/800 loss 2.1713
pretrain epoch 320/800 loss 2.1492
pretrain epoch 330/800 loss 2.0909
pretrain epoch 340/800 loss 2.0793
pretrain epoch 350/800 loss 2.0285
pretrain epoch 360/800 loss 2.0337
pretrain epoch 370/800 loss 1.9543
pretrain epoch 380/800 loss 1.9345
pretrain epoch 390/800 loss 1.9141
pretrain epoch 400/800 loss 1.8990
pretrain epoch 410/800 loss 1.9067
pretrain epoch 420/800 loss 1.7956
pretrain epoch 430/800 loss 1.8149
pretrain epoch 440/800 loss 1.8000
pretrain epoch 450/800 loss 1.7647
pretrain epoch 460/800 loss 1.6841
pretrain epoch 470/800 loss 1.6652
pretrain epoch 480/800 loss 1.6664
pretrain epoch 490/800 loss 1.6512
pretrain epoch 500/800 loss 1.6468
pretrain epoch 510/800 loss 1.5886
pretrain epoch 520/800 loss 1.6043
pretrain epoch 530/800 loss 1.5428
pretrain epoch 540/800 loss 1.5648
pretrain epoch 550/800 loss 1.5317
pretrain epoch 560/800 loss 1.5062
pretrain epoch 570/800 loss 1.4831
pretrain epoch 580/800 loss 1.4732
pretrain epoch 590/800 loss 1.4885
pretrain epoch 600/800 loss 1.4527
pretrain epoch 610/800 loss 1.4338
pretrain epoch 620/800 loss 1.4243
pretrain epoch 630/800 loss 1.4285
pretrain epoch 640/800 loss 1.4294
pretrain epoch 650/800 loss 1.3966
pretrain epoch 660/800 loss 1.3808
pretrain epoch 670/800 loss 1.3962
pretrain epoch 680/800 loss 1.3831
pretrain epoch 690/800 loss 1.3712
pretrain epoch 700/800 loss 1.3649
pretrain epoch 710/800 loss 1.3553
pretrain epoch 720/800 loss 1.3566
pretrain epoch 730/800 loss 1.3890
pretrain epoch 740/800 loss 1.3563
pretrain epoch 750/800 loss 1.3444
pretrain epoch 760/800 loss 1.3627
pretrain epoch 770/800 loss 1.3554
pretrain epoch 780/800 loss 1.3475
pretrain epoch 790/800 loss 1.3647
pretrain epoch 800/800 loss 1.3466
saved 120 tensors (5600 steps) -> runs/simclr_pre800_c100_2pct/seed0/pretrain.pt
