pretrain optimizer: sgd lr=0.3
pretrain epoch 1/800 loss 5.2014
pretrain epoch 10/800 loss 4.5615
pretrain epoch 20/800 loss 4.4015
pretrain epoch 30/800 loss 4.1991
pretrain epoch 40/800 loss 3.9511
pretrain epoch 50/800 loss 3.6867
pretrain epoch 60/800 loss 3.5576
pretrain epoch 70/800 loss 3.4399
pretrain epoch 80/800 loss 3.4363
pretrain epoch 90/800 loss 3.3235
pretrain epoch 100/800 loss 3.1922
pretrain epoch 110/800 loss 3.1600
pretrain epoch 120/800 loss 3.0742
pretrain epoch 130/800 loss 3.0281
pretrain epoch 140/800 loss 2.9825
pretrain epoch 150/800 loss 2.9132
pretrain epoch 160/800 loss 2.9029
pretrain epoch 170/800 loss 2.7611
pretrain epoch 180/800 loss 2.7470
pretrain epoch 190/800 loss 2.6467
pretrain epoch 200/800 loss 2.6266
pretrain epoch 210/800 loss 2.5609
pretrain epoch 220/800 loss 2.5606
pretrain epoch 230/800 loss 2.4876
pretrain epoch 240/800 loss 2.4119
pretrain epoch 250/800 loss 2.3838
pretrain epoch 260/800 loss 2.3446
pretrain epoch 270/800 loss 2.2616
pretrain epoch 280/800 loss 2.2438
pretrain epoch 290/800 loss 2.1611
pretrain epoch 300/800 loss 2.2026
pretrain epoch 310/800 loss 2.1811
pretrain epoch 320/800 loss 2.0846
pretrain epoch 330/800 loss 2.0701
pretrain epoch 340/800 loss 2.0476
pretrain epoch 350/800 loss 1.9906
pretrain epoch 360/800 loss 1.9472
pretrain epoch 370/800 loss 1.9462
pretrain epoch 380/800 loss 1.9119
pretrain epoch 390/800 loss 1.8275
pretrain epoch 400/800 loss 1.8877
pretrain epoch 410/800 loss 1.8206
pretrain epoch 420/800 loss 1.7864
pretrain epoch 430/800 loss 1.7204
pretrain epoch 440/800 loss 1.7269
pretrain epoch 450/800 loss 1.6998
pretrain epoch 460/800 loss 1.6751
pretrain epoch 470/800 loss 1.6744
pretrain epoch 480/800 loss 1.6364
pretrain epoch 490/800 loss 1.6276
pretrain epoch 500/800 loss 1.5691
pretrain epoch 510/800 loss 1.6030
pretrain epoch 520/800 loss 1.5572
pretrain epoch 530/800 loss 1.5685
pretrain epoch 540/800 loss 1.5599
pretrain epoch 550/800 loss 1.5198
pretrain epoch 560/800 loss 1.4900
pretrain epoch 570/800 loss 1.4976
pretrain epoch 580/800 loss 1.4828
pretrain epoch 590/800 loss 1.4608
pretrain epoch 600/800 loss 1.4519
pretrain epoch 610/800 loss 1.4373
pretrain epoch 620/800 loss 1.4149
pretrain epoch 630/800 loss 1.4162
pretrain epoch 640/800 loss 1.4047
pretrain epoch 650/800 loss 1.3983
pretrain epoch 660/800 loss 1.4050
pretrain epoch 670/800 loss 1.3715
pretrain epoch 680/800 loss 1.3633
pretrain epoch 690/800 loss 1.3585
pretrain epoch 700/800 loss 1.3514
pretrain epoch 710/800 loss 1.3728
pretrain epoch 720/800 loss 1.3685
pretrain epoch 730/800 loss 1.3452
pretrain epoch 740/800 loss 1.3347
pretrain epoch 750/800 loss 1.3470
pretrain epoch 760/800 loss 1.3591
pretrain epoch 770/800 loss 1.3349
pretrain epoch 780/800 loss 1.3333
pretrain epoch 790/800 loss 1.3681
pretrain epoch 800/800 loss 1.3699
saved 120 tensors (5600 steps) -> runs/simclr_pre800_c100_2pct/seed2/pretrain.pt
