pretrain optimizer: sgd lr=0.3
pretrain epoch 1/800 loss 4.9238
pretrain epoch 10/800 loss 3.3223
pretrain epoch 20/800 loss 2.7981
pretrain epoch 30/800 loss 2.5220
pretrain epoch 40/800 loss 2.4144
pretrain epoch 50/800 loss 2.3179
pretrain epoch 60/800 loss 2.2539
pretrain epoch 70/800 loss 2.2175
pretrain epoch 80/800 loss 2.1845
pretrain epoch 90/800 loss 2.1546
pretrain epoch 100/800 loss 2.1243
pretrain epoch 110/800 loss 2.1074
pretrain epoch 120/800 loss 2.0958
pretrain epoch 130/800 loss 2.0815
pretrain epoch 140/800 loss 2.0504
pretrain epoch 150/800 loss 2.0344
pretrain epoch 160/800 loss 2.0322
pretrain epoch 170/800 loss 2.0175
pretrain epoch 180/800 loss 2.0068
pretrain epoch 190/800 loss 2.0046
pretrain epoch 200/800 loss 1.9917
pretrain epoch 210/800 loss 1.9636
pretrain epoch 220/800 loss 1.9635
pretrain epoch 230/800 loss 1.9698
pretrain epoch 240/800 loss 1.9482
pretrain epoch 250/800 loss 1.9434
pretrain epoch 260/800 loss 1.9389
pretrain epoch 270/800 loss 1.9053
pretrain epoch 280/800 loss 1.9188
pretrain epoch 290/800 loss 1.9001
pretrain epoch 300/800 loss 1.9038
pretrain epoch 310/800 loss 1.8954
pretrain epoch 320/800 loss 1.8774
pretrain epoch 330/800 loss 1.8723
pretrain epoch 340/800 loss 1.8724
pretrain epoch 350/800 loss 1.8439
pretrain epoch 360/800 loss 1.8358
pretrain epoch 370/800 loss 1.8487
pretrain epoch 380/800 loss 1.8315
pretrain epoch 390/800 loss 1.8160
pretrain epoch 400/800 loss 1.8014
pretrain epoch 410/800 loss 1.8043
pretrain epoch 420/800 loss 1.7789
pretrain epoch 430/800 loss 1.7750
pretrain epoch 440/800 loss 1.7725
pretrain epoch 450/800 loss 1.7486
pretrain epoch 460/800 loss 1.7481
pretrain epoch 470/800 loss 1.7292
pretrain epoch 480/800 loss 1.7341
pretrain epoch 490/800 loss 1.7044
pretrain epoch 500/800 loss 1.6925
pretrain epoch 510/800 loss 1.6783
pretrain epoch 520/800 loss 1.6743
pretrain epoch 530/800 loss 1.6598
pretrain epoch 540/800 loss 1.6499
pretrain epoch 550/800 loss 1.6199
pretrain epoch 560/800 loss 1.6210
pretrain epoch 570/800 loss 1.5976
pretrain epoch 580/800 loss 1.5814
pretrain epoch 590/800 loss 1.5778
pretrain epoch 600/800 loss 1.5510
pretrain epoch 610/800 loss 1.5361
pretrain epoch 620/800 loss 1.5229
pretrain epoch 630/800 loss 1.4967
pretrain epoch 640/800 loss 1.4988
pretrain epoch 650/800 loss 1.4752
pretrain epoch 660/800 loss 1.4541
pretrain epoch 670/800 loss 1.4485
pretrain epoch 680/800 loss 1.4280
pretrain epoch 690/800 loss 1.4274
pretrain epoch 700/800 loss 1.4036
pretrain epoch 710/800 loss 1.3971
pretrain epoch 720/800 loss 1.3828
pretrain epoch 730/800 loss 1.3729
pretrain epoch 740/800 loss 1.3642
pretrain epoch 750/800 loss 1.3656
pretrain epoch 760/800 loss 1.3617
pretrain epoch 770/800 loss 1.3532
pretrain epoch 780/800 loss 1.3517
pretrain epoch 790/800 loss 1.3495
pretrain epoch 800/800 loss 1.3471
saved 120 tensors (77600 steps) -> runs/simclr_pre800_c100_25pct/seed0/pretrain.pt
