pretrain optimizer: sgd lr=0.3
pretrain epoch 1/800 loss 5.0500
pretrain epoch 10/800 loss 4.9000
pretrain epoch 20/800 loss 4.9172
pretrain epoch 30/800 loss 4.6734
pretrain epoch 40/800 loss 4.4070
pretrain epoch 50/800 loss 4.5981
pretrain epoch 60/800 loss 4.2549
pretrain epoch 70/800 loss 4.2013
pretrain epoch 80/800 loss 3.9671
pretrain epoch 90/800 loss 3.8812
pretrain epoch 100/800 loss 3.7863
pretrain epoch 110/800 loss 3.6337
pretrain epoch 120/800 loss 3.6861
pretrain epoch 130/800 loss 3.6327
pretrain epoch 140/800 loss 3.6546
pretrain epoch 150/800 loss 3.4890
pretrain epoch 160/800 loss 3.4486
pretrain epoch 170/800 loss 3.4665
pretrain epoch 180/800 loss 3.3457
pretrain epoch 190/800 loss 3.3656
pretrain epoch 200/800 loss 3.2553
pretrain epoch 210/800 loss 3.2221
pretrain epoch 220/800 loss 3.1123
pretrain epoch 230/800 loss 3.2407
pretrain epoch 240/800 loss 3.0497
pretrain epoch 250/800 loss 3.0617
pretrain epoch 260/800 loss 3.0181
pretrain epoch 270/800 loss 2.8369
pretrain epoch 280/800 loss 2.9615
pretrain epoch 290/800 loss 2.8600
pretrain epoch 300/800 loss 2.8068
pretrain epoch 310/800 loss 2.8124
pretrain epoch 320/800 loss 2.7129
pretrain epoch 330/800 loss 2.6898
pretrain epoch 340/800 loss 2.6168
pretrain epoch 350/800 loss 2.6989
pretrain epoch 360/800 loss 2.6231
pretrain epoch 370/800 loss 2.5286
pretrain epoch 380/800 loss 2.5220
pretrain epoch 390/800 loss 2.5063
pretrain epoch 400/800 loss 2.4242
pretrain epoch 410/800 loss 2.4528
pretrain epoch 420/800 loss 2.3315
pretrain epoch 430/800 loss 2.3259
pretrain epoch 440/800 loss 2.2633
pretrain epoch 450/800 loss 2.2174
pretrain epoch 460/800 loss 2.2693
pretrain epoch 470/800 loss 2.1849
pretrain epoch 480/800 loss 2.1554
pretrain epoch 490/800 loss 2.1046
pretrain epoch 500/800 loss 2.1289
pretrain epoch 510/800 loss 2.0535
pretrain epoch 520/800 loss 2.1306
pretrain epoch 530/800 loss 2.0202
pretrain epoch 540/800 loss 2.0059
pretrain epoch 550/800 loss 1.9685
pretrain epoch 560/800 loss 1.9859
pretrain epoch 570/800 loss 2.0078
pretrain epoch 580/800 loss 1.9058
pretrain epoch 590/800 loss 1.8653
pretrain epoch 600/800 loss 1.9120
pretrain epoch 610/800 loss 1.9005
pretrain epoch 620/800 loss 1.8402
pretrain epoch 630/800 loss 1.8050
pretrain epoch 640/800 loss 1.8487
pretrain epoch 650/800 loss 1.7814
pretrain epoch 660/800 loss 1.8090
pretrain epoch 670/800 loss 1.7865
pretrain epoch 680/800 loss 1.7578
pretrain epoch 690/800 loss 1.8032
pretrain epoch 700/800 loss 1.7651
pretrain epoch 710/800 loss 1.8195
pretrain epoch 720/800 loss 1.7788
pretrain epoch 730/800 loss 1.7557
pretrain epoch 740/800 loss 1.7371
pretrain epoch 750/800 loss 1.7638
pretrain epoch 760/800 loss 1.7652
pretrain epoch 770/800 loss 1.7451
pretrain epoch 780/800 loss 1.7181
pretrain epoch 790/800 loss 1.7258
pretrain epoch 800/800 loss 1.6982
saved 120 tensors (2400 steps) -> runs/simclr_pre800_c100_1pct/seed2/pretrain.pt
