pretrain optimizer: adamw lr=0.001
pretrain epoch 1/800 loss 5.0997
pretrain epoch 10/800 loss 3.8098
pretrain epoch 20/800 loss 3.4155
pretrain epoch 30/800 loss 3.2025
pretrain epoch 40/800 loss 3.0149
pretrain epoch 50/800 loss 2.9102
pretrain epoch 60/800 loss 2.8048
pretrain epoch 70/800 loss 2.7502
pretrain epoch 80/800 loss 2.6778
pretrain epoch 90/800 loss 2.6434
pretrain epoch 100/800 loss 2.5941
pretrain epoch 110/800 loss 2.5418
pretrain epoch 120/800 loss 2.4934
pretrain epoch 130/800 loss 2.4996
pretrain epoch 140/800 loss 2.4648
pretrain epoch 150/800 loss 2.4143
pretrain epoch 160/800 loss 2.3813
pretrain epoch 170/800 loss 2.3454
pretrain epoch 180/800 loss 2.3171
pretrain epoch 190/800 loss 2.2907
pretrain epoch 200/800 loss 2.2459
pretrain epoch 210/800 loss 2.2240
pretrain epoch 220/800 loss 2.2164
pretrain epoch 230/800 loss 2.1887
pretrain epoch 240/800 loss 2.1683
pretrain epoch 250/800 loss 2.1284
pretrain epoch 260/800 loss 2.0962
pretrain epoch 270/800 loss 2.0802
pretrain epoch 280/800 loss 2.0650
pretrain epoch 290/800 loss 2.0368
pretrain epoch 300/800 loss 2.0442
pretrain epoch 310/800 loss 2.0014
pretrain epoch 320/800 loss 1.9742
pretrain epoch 330/800 loss 1.9736
pretrain epoch 340/800 loss 1.9407
pretrain epoch 350/800 loss 1.9419
pretrain epoch 360/800 loss 1.9120
pretrain epoch 370/800 loss 1.8827
pretrain epoch 380/800 loss 1.8802
pretrain epoch 390/800 loss 1.8710
pretrain epoch 400/800 loss 1.8289
pretrain epoch 410/800 loss 1.8221
pretrain epoch 420/800 loss 1.8158
pretrain epoch 430/800 loss 1.7912
pretrain epoch 440/800 loss 1.7916
pretrain epoch 450/800 loss 1.7755
pretrain epoch 460/800 loss 1.7429
pretrain epoch 470/800 loss 1.7499
pretrain epoch 480/800 loss 1.7314
pretrain epoch 490/800 loss 1.7222
pretrain epoch 500/800 loss 1.7312
pretrain epoch 510/800 loss 1.6903
pretrain epoch 520/800 loss 1.6991
pretrain epoch 530/800 loss 1.6720
pretrain epoch 540/800 loss 1.6610
pretrain epoch 550/800 loss 1.6526
pretrain epoch 560/800 loss 1.6269
pretrain epoch 570/800 loss 1.6167
pretrain epoch 580/800 loss 1.6257
pretrain epoch 590/800 loss 1.6149
pretrain epoch 600/800 loss 1.6067
pretrain epoch 610/800 loss 1.5928
pretrain epoch 620/800 loss 1.5991
pretrain epoch 630/800 loss 1.5806
pretrain epoch 640/800 loss 1.5762
pretrain epoch 650/800 loss 1.5682
pretrain epoch 660/800 loss 1.5605
pretrain epoch 670/800 loss 1.5582
pretrain epoch 680/800 loss 1.5542
pretrain epoch 690/800 loss 1.5458
pretrain epoch 700/800 loss 1.5282
pretrain epoch 710/800 loss 1.5370
pretrain epoch 720/800 loss 1.5468
pretrain epoch 730/800 loss 1.5404
pretrain epoch 740/800 loss 1.5339
pretrain epoch 750/800 loss 1.5454
pretrain epoch 760/800 loss 1.5301
pretrain epoch 770/800 loss 1.5216
pretrain epoch 780/800 loss 1.5319
pretrain epoch 790/800 loss 1.5231
pretrain epoch 800/800 loss 1.5389
saved 150 tensors (31200 steps) -> runs/simclr_pre800_vit_tin_5pct/seed1/pretrain.pt
