pretrain optimizer: sgd lr=0.3
pretrain epoch 1/800 loss 5.0555
pretrain epoch 10/800 loss 3.9551
pretrain epoch 20/800 loss 3.3623
pretrain epoch 30/800 loss 3.1760
pretrain epoch 40/800 loss 2.9927
pretrain epoch 50/800 loss 2.8248
pretrain epoch 60/800 loss 2.7228
pretrain epoch 70/800 loss 2.6114
pretrain epoch 80/800 loss 2.5348
pretrain epoch 90/800 loss 2.4733
pretrain epoch 100/800 loss 2.4219
pretrain epoch 110/800 loss 2.3840
pretrain epoch 120/800 loss 2.3397
pretrain epoch 130/800 loss 2.2558
pretrain epoch 140/800 loss 2.2669
pretrain epoch 150/800 loss 2.2225
pretrain epoch 160/800 loss 2.2000
pretrain epoch 170/800 loss 2.1133
pretrain epoch 180/800 loss 2.1460
pretrain epoch 190/800 loss 2.1269
pretrain epoch 200/800 loss 2.0888
pretrain epoch 210/800 loss 2.0594
pretrain epoch 220/800 loss 2.0506
pretrain epoch 230/800 loss 2.0362
pretrain epoch 240/800 loss 1.9733
pretrain epoch 250/800 loss 1.9619
pretrain epoch 260/800 loss 1.9477
pretrain epoch 270/800 loss 1.9095
pretrain epoch 280/800 loss 1.8916
pretrain epoch 290/800 loss 1.8634
pretrain epoch 300/800 loss 1.8540
pretrain epoch 310/800 loss 1.8156
pretrain epoch 320/800 loss 1.8383
pretrain epoch 330/800 loss 1.7970
pretrain epoch 340/800 loss 1.7671
pretrain epoch 350/800 loss 1.7619
pretrain epoch 360/800 loss 1.7499
pretrain epoch 370/800 loss 1.7323
pretrain epoch 380/800 loss 1.7028
pretrain epoch 390/800 loss 1.6792
pretrain epoch 400/800 loss 1.6760
pretrain epoch 410/800 loss 1.6230
pretrain epoch 420/800 loss 1.6189
pretrain epoch 430/800 loss 1.6173
pretrain epoch 440/800 loss 1.6010
pretrain epoch 450/800 loss 1.5804
pretrain epoch 460/800 loss 1.5751
pretrain epoch 470/800 loss 1.5490
pretrain epoch 480/800 loss 1.5253
pretrain epoch 490/800 loss 1.5079
pretrain epoch 500/800 loss 1.4872
pretrain epoch 510/800 loss 1.5048
pretrain epoch 520/800 loss 1.4738
pretrain epoch 530/800 loss 1.4588
pretrain epoch 540/800 loss 1.4211
pretrain epoch 550/800 loss 1.4133
pretrain epoch 560/800 loss 1.4174
pretrain epoch 570/800 loss 1.3930
pretrain epoch 580/800 loss 1.3714
pretrain epoch 590/800 loss 1.3744
pretrain epoch 600/800 loss 1.3603
pretrain epoch 610/800 loss 1.3503
pretrain epoch 620/800 loss 1.3433
pretrain epoch 630/800 loss 1.3325
pretrain epoch 640/800 loss 1.3098
pretrain epoch 650/800 loss 1.3061
pretrain epoch 660/800 loss 1.3135
pretrain epoch 670/800 loss 1.2986
pretrain epoch 680/800 loss 1.2867
pretrain epoch 690/800 loss 1.2770
pretrain epoch 700/800 loss 1.2804
pretrain epoch 710/800 loss 1.2785
pretrain epoch 720/800 loss 1.2763
pretrain epoch 730/800 loss 1.2675
pretrain epoch 740/800 loss 1.2593
pretrain epoch 750/800 loss 1.2623
pretrain epoch 760/800 loss 1.2601
pretrain epoch 770/800 loss 1.2626
pretrain epoch 780/800 loss 1.2657
pretrain epoch 790/800 loss 1.2606
pretrain epoch 800/800 loss 1.2545
saved 120 tensors (21600 steps) -> runs/simclr_pre800_c100_7pct/seed2/pretrain.pt
