cell,dataset,backbone,optimizer,epochs,head,stem,init_from,pretrained,aux_target,aux_tap,aux_lambda0,aux_lambda_final,subset_pct,n_images,n_seeds,acc_mean,acc_std,probe_mean,probe_std,n_probe_seeds,is_headline,bistable,baseline_cell,base_acc,delta,delta_sem,G,G_sem,readout
abl10_gaboronly_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,10,5000,3,38.78,0.45,,,,yes,,abl10_none,40.28,-1.50,0.32,,,
abl10_none,cifar100,resnet18,sgd,200,linear,none,,,,,,,10,5000,10,40.28,0.57,47.94,0.49,10,yes,,,,,,,,
abl15_gaboronly_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,15,7500,3,47.72,0.78,,,,yes,,abl15_none,50.09,-2.37,0.52,,,
abl15_none,cifar100,resnet18,sgd,200,linear,none,,,,,,,15,7500,3,50.09,0.45,54.63,0.36,3,yes,,,,,,,,
abl1_cat_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,1,500,3,10.00,0.15,,,,yes,,abl1_none,8.95,1.04,0.09,,,
abl1_gaboronly_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,1,500,3,10.25,0.06,,,,yes,,abl1_none,8.95,1.29,0.05,,,
abl1_learned,cifar100,resnet18,sgd,200,linear,learned,,,,,,,1,500,3,8.00,0.09,,,,yes,,abl1_none,8.95,-0.96,0.06,,,
abl1_none,cifar100,resnet18,sgd,200,linear,none,,,,,,,1,500,10,8.95,0.11,26.62,0.28,10,yes,,,,,,,,
abl25_gaboronly_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,25,12500,3,59.75,0.40,,,,yes,,abl25_none,61.35,-1.60,0.35,,,
abl25_none,cifar100,resnet18,sgd,200,linear,none,,,,,,,25,12500,3,61.35,0.46,63.19,0.21,3,yes,,,,,,,,
abl2_gaboronly_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,2,1000,3,15.96,0.20,,,,yes,,abl2_none,14.17,1.79,0.14,,,
abl2_none,cifar100,resnet18,sgd,200,linear,none,,,,,,,2,1000,3,14.17,0.15,29.83,0.45,3,yes,,,,,,,,
abl3_gaboronly_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,3,1500,3,20.32,0.28,,,,yes,,abl3_none,18.47,1.85,0.16,,,
abl3_none,cifar100,resnet18,sgd,200,linear,none,,,,,,,3,1500,3,18.47,0.06,32.77,0.19,3,yes,,,,,,,,
abl5_cat_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,5,2500,3,26.57,0.53,,,,yes,,abl5_none,25.36,1.21,0.35,,,
abl5_gaboronly_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,5,2500,3,27.14,0.06,,,,yes,,abl5_none,25.36,1.78,0.18,,,
abl5_learned,cifar100,resnet18,sgd,200,linear,learned,,,,,,,5,2500,3,21.31,0.39,,,,yes,,abl5_none,25.36,-4.06,0.29,,,
abl5_none,cifar100,resnet18,sgd,200,linear,none,,,,,,,5,2500,10,25.36,0.56,37.22,0.48,10,yes,,,,,,,,
abl7_gaboronly_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,7,3500,3,32.67,0.33,,,,yes,,abl7_none,32.09,0.58,0.44,,,
abl7_none,cifar100,resnet18,sgd,200,linear,none,,,,,,,7,3500,3,32.09,0.69,42.24,0.54,3,yes,,,,,,,,
abl_cat_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,10,5000,1,38.60,0.00,,,,no,,abl10_none,40.28,-1.68,,,,
abl_cat_calib_grid,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,10,5000,1,37.73,0.00,,,,no,,abl10_none,40.28,-2.55,,,,
abl_cat_v1,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,10,5000,1,33.20,0.00,,,,no,,abl10_none,40.28,-7.08,,,,
abl_learned,cifar100,resnet18,sgd,200,linear,learned,,,,,,,10,5000,1,32.71,0.00,,,,no,,abl10_none,40.28,-7.57,,,,
abl_none,cifar100,resnet18,sgd,200,linear,none,,,,,,,10,5000,1,39.41,0.00,,,,no,,abl10_none,40.28,-0.87,,,,
abl_sum_calib,cifar100,resnet18,sgd,200,linear,moments-sum,,,,,,,10,5000,1,32.85,0.00,,,,no,,abl10_none,40.28,-7.43,,,,
ablf50_gaboronly_calib,cifar100,resnet50,sgd,200,linear,moments-cat,,,,,,,100,50000,1,79.88,0.00,,,,no,,ablf50_none,80.51,-0.63,,,,
ablf50_none,cifar100,resnet50,sgd,200,linear,none,,,,,,,100,50000,1,80.51,0.00,,,,no,,,,,,,,
ablf_cat_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,100,50000,2,77.84,0.43,,,,no,,ablf_none,78.52,-0.68,0.32,,,
ablf_catpruned_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,100,50000,2,78.25,0.71,,,,no,,ablf_none,78.52,-0.27,0.51,,,
ablf_gaborlearn_calib,cifar100,resnet18,sgd,200,linear,gabor-learn,,,,,,,100,50000,1,78.04,0.00,,,,no,,ablf_none,78.52,-0.48,,,,
ablf_gaboronly_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,100,50000,3,78.51,0.15,,,,yes,,ablf_none,78.52,-0.01,0.13,,,
ablf_learned,cifar100,resnet18,sgd,200,linear,learned,,,,,,,100,50000,1,78.13,0.00,,,,no,,ablf_none,78.52,-0.39,,,,
ablf_noidentity_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,100,50000,1,76.71,0.00,,,,no,,ablf_none,78.52,-1.81,,,,
ablf_none,cifar100,resnet18,sgd,200,linear,none,,,,,,,100,50000,3,78.52,0.16,,,,yes,,,,,,,,
ablf_randomfixed_calib,cifar100,resnet18,sgd,200,linear,random-fixed,,,,,,,100,50000,1,78.02,0.00,,,,no,,ablf_none,78.52,-0.50,,,,
ablf_zernikeonly_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,100,50000,1,77.92,0.00,,,,no,,ablf_none,78.52,-0.60,,,,
auxgab_10pct_l30,cifar100,resnet18,sgd,200,linear,none,,,moments-cat,layer3,0.3,,10,5000,3,40.19,0.42,,,,yes,,abl10_none,40.28,-0.09,0.30,,,
auxhog_10pct,cifar100,resnet18,sgd,200,linear,none,,,,layer3,0.3,,10,5000,3,41.55,0.23,,,,yes,,abl10_none,40.28,1.27,0.22,,,
auxhog_5pct,cifar100,resnet18,sgd,200,linear,none,,,,layer3,0.3,,5,2500,3,26.45,0.31,,,,yes,,abl5_none,25.36,1.08,0.25,,,
auxinv_10pct_l30,cifar100,resnet18,sgd,200,linear,none,,,energy-invariants,layer3,0.3,,10,5000,3,37.21,0.34,,,,yes,,abl10_none,40.28,-3.07,0.26,,,
auxmag3_c100_5pct,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude3,layer3,1.0,0.0,5,2500,3,30.55,0.58,43.47,0.92,3,yes,,abl5_none,25.36,5.19,0.38,6.25,0.55,-1.06
auxmag3_tin_10pct,tin,resnet18,sgd,200,linear,none,,,energy-magnitude3,layer3,1.0,0.0,10,10000,3,35.52,0.06,41.91,0.04,3,yes,,tin_none_10pct,33.60,1.93,0.16,2.07,0.21,-0.14
auxmag3_tin_1pct,tin,resnet18,sgd,200,linear,none,,,energy-magnitude3,layer3,1.0,0.0,1,1000,3,6.93,0.10,23.67,0.34,3,yes,,tin_none_1pct,5.30,1.63,0.09,4.58,0.23,-2.95
auxmag3_tin_5pct,tin,resnet18,sgd,200,linear,none,,,energy-magnitude3,layer3,1.0,0.0,5,5000,10,23.68,0.19,34.95,0.37,10,yes,,tin_none_5pct,21.08,2.60,0.10,3.00,0.17,-0.40
auxmag6o_tin_5pct,tin,resnet18,sgd,200,linear,none,,,energy-magnitude6o,layer3,1.0,0.0,5,5000,10,23.50,0.34,34.85,0.32,10,yes,,tin_none_5pct,21.08,2.43,0.14,2.90,0.16,-0.47
auxmag_100pct_l05,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.05,,100,50000,3,78.47,0.10,,,,yes,,ablf_none,78.52,-0.05,0.11,,,
auxmag_100pct_l10,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.1,,100,50000,3,78.57,0.13,,,,yes,,ablf_none,78.52,0.05,0.12,,,
auxmag_100pct_l100,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,,100,50000,3,78.09,0.22,,,,yes,,ablf_none,78.52,-0.43,0.15,,,
auxmag_100pct_l30,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.3,,100,50000,3,78.43,0.38,,,,yes,,ablf_none,78.52,-0.09,0.24,,,
auxmag_100pct_l50,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.5,,100,50000,3,78.07,0.22,,,,yes,,ablf_none,78.52,-0.45,0.16,,,
auxmag_100pct_sched,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.1,100,50000,3,78.24,0.38,,,,yes,,ablf_none,78.52,-0.27,0.24,,,
auxmag_100pct_sched0,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,100,50000,3,78.51,0.16,,,,yes,,ablf_none,78.52,-0.01,0.13,,,
auxmag_100pct_sched01,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.1,0.0,100,50000,3,78.67,0.12,78.48,0.10,3,yes,,ablf_none,78.52,0.15,0.12,,,
auxmag_100pct_sched03,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.3,0.0,100,50000,3,78.62,0.23,,,,yes,,ablf_none,78.52,0.11,0.16,,,
auxmag_10pct_cos,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.3,,10,5000,3,40.64,0.67,,,,yes,,abl10_none,40.28,0.36,0.42,,,
auxmag_10pct_l05,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.05,,10,5000,3,41.13,0.44,,,,yes,,abl10_none,40.28,0.85,0.31,,,
auxmag_10pct_l10,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.1,,10,5000,3,41.65,0.33,,,,yes,,abl10_none,40.28,1.37,0.26,,,
auxmag_10pct_l100,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,,10,5000,3,43.35,0.25,,,,yes,,abl10_none,40.28,3.07,0.23,,,
auxmag_10pct_l30,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.3,,10,5000,3,42.99,0.05,,,,yes,,abl10_none,40.28,2.71,0.18,,,
auxmag_10pct_l30_tap2,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer2,0.3,,10,5000,3,43.01,0.59,,,,yes,,abl10_none,40.28,2.73,0.39,,,
auxmag_10pct_l30_tap234,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,"['layer2', 'layer3', 'layer4']",0.3,,10,5000,3,43.03,0.08,,,,yes,,abl10_none,40.28,2.75,0.19,,,
auxmag_10pct_l30_tap4,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer4,0.3,,10,5000,3,41.10,1.02,,,,yes,,abl10_none,40.28,0.82,0.62,,,
auxmag_10pct_l50,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.5,,10,5000,3,43.51,0.22,,,,yes,,abl10_none,40.28,3.23,0.22,,,
auxmag_10pct_sched,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.1,10,5000,3,43.82,0.06,,,,yes,,abl10_none,40.28,3.54,0.18,,,
auxmag_10pct_sched0,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,10,5000,10,44.03,0.50,51.57,0.45,10,yes,,abl10_none,40.28,3.75,0.24,3.63,0.21,0.12
auxmag_15pct_l30,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.3,,15,7500,3,52.33,0.37,,,,yes,,abl15_none,50.09,2.24,0.34,,,
auxmag_15pct_sched,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.1,15,7500,3,52.32,0.45,57.10,0.22,3,yes,,abl15_none,50.09,2.23,0.37,2.47,0.24,-0.24
auxmag_15pct_sched0,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,15,7500,3,52.64,0.26,57.35,0.23,3,yes,,abl15_none,50.09,2.55,0.30,2.72,0.24,-0.18
auxmag_15pct_sched03,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.3,0.0,15,7500,3,53.03,0.17,,,,yes,,abl15_none,50.09,2.94,0.28,,,
auxmag_1pct_l30,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.3,,1,500,3,9.71,0.21,,,,yes,,abl1_none,8.95,0.75,0.13,,,
auxmag_1pct_sched,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.1,1,500,3,10.43,0.15,30.63,0.36,3,yes,,abl1_none,8.95,1.48,0.09,4.01,0.23,-2.54
auxmag_1pct_sched0,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,1,500,10,10.35,0.21,30.82,0.45,10,yes,,abl1_none,8.95,1.40,0.08,4.20,0.17,-2.80
auxmag_1pct_sched2,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,2.0,0.0,1,500,3,10.81,0.09,31.35,0.14,3,yes,,abl1_none,8.95,1.85,0.06,4.73,0.12,-2.88
auxmag_1pct_sched2_tap1,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer1,2.0,0.0,1,500,3,10.77,0.29,31.53,0.04,3,yes,,abl1_none,8.95,1.82,0.17,4.91,0.09,-3.10
auxmag_1pct_sched2_tap2,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer2,2.0,0.0,1,500,3,10.55,0.09,31.00,0.68,3,yes,,abl1_none,8.95,1.60,0.06,4.38,0.40,-2.79
auxmag_25pct_l02,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.02,,25,12500,3,60.79,0.15,,,,yes,,abl25_none,61.35,-0.56,0.28,,,
auxmag_25pct_l05,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.05,,25,12500,3,61.37,0.29,,,,yes,,abl25_none,61.35,0.02,0.31,,,
auxmag_25pct_l10,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.1,,25,12500,3,61.95,0.22,,,,yes,,abl25_none,61.35,0.60,0.29,,,
auxmag_25pct_l30,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.3,,25,12500,3,61.72,0.78,,,,yes,,abl25_none,61.35,0.37,0.52,,,
auxmag_25pct_sched,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.1,25,12500,3,61.79,0.43,63.56,0.59,3,yes,,abl25_none,61.35,0.44,0.36,0.37,0.36,0.07
auxmag_25pct_sched0,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,25,12500,3,61.51,0.20,63.63,0.36,3,yes,,abl25_none,61.35,0.16,0.29,0.44,0.24,-0.28
auxmag_25pct_sched03,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.3,0.0,25,12500,3,62.23,0.26,,,,yes,,abl25_none,61.35,0.88,0.30,,,
auxmag_2pct_cos,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.3,,2,1000,3,14.16,0.18,,,,yes,,abl2_none,14.17,-0.01,0.13,,,
auxmag_2pct_l100,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,,2,1000,3,16.80,0.06,,,,yes,,abl2_none,14.17,2.63,0.09,,,
auxmag_2pct_l200,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,2.0,,2,1000,3,17.43,0.36,,,,yes,,abl2_none,14.17,3.26,0.23,,,
auxmag_2pct_l30,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.3,,2,1000,3,15.30,0.43,,,,yes,,abl2_none,14.17,1.13,0.26,,,
auxmag_2pct_l50,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.5,,2,1000,3,16.30,0.42,,,,yes,,abl2_none,14.17,2.13,0.26,,,
auxmag_2pct_sched,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.1,2,1000,3,16.58,0.36,,,,yes,,abl2_none,14.17,2.41,0.22,,,
auxmag_2pct_sched0,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,2,1000,3,16.67,0.23,34.88,0.37,3,yes,,abl2_none,14.17,2.50,0.16,5.05,0.34,-2.55
auxmag_2pct_sched2,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,2.0,0.0,2,1000,3,17.31,0.33,,,,yes,,abl2_none,14.17,3.14,0.21,,,
auxmag_3pct_l30,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.3,,3,1500,3,20.23,0.59,,,,yes,,abl3_none,18.47,1.76,0.34,,,
auxmag_3pct_sched,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.1,3,1500,3,22.27,0.38,,,,yes,,abl3_none,18.47,3.80,0.22,,,
auxmag_3pct_sched0,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,3,1500,3,22.15,0.50,38.48,0.45,3,yes,,abl3_none,18.47,3.68,0.29,5.71,0.28,-2.03
auxmag_5pct_l10,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.1,,5,2500,3,26.72,0.63,,,,yes,,abl5_none,25.36,1.35,0.41,,,
auxmag_5pct_l30,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.3,,5,2500,3,28.54,0.46,,,,yes,,abl5_none,25.36,3.18,0.32,,,
auxmag_5pct_sched,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.1,5,2500,3,30.54,0.70,,,,yes,,abl5_none,25.36,5.17,0.44,,,
auxmag_5pct_sched0,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,5,2500,10,30.51,0.39,43.33,0.40,10,yes,,abl5_none,25.36,5.15,0.22,6.11,0.20,-0.96
auxmag_7pct_l30,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.3,,7,3500,3,35.28,0.17,,,,yes,,abl7_none,32.09,3.19,0.41,,,
auxmag_7pct_sched,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.1,7,3500,3,36.88,0.09,46.94,0.24,3,yes,,abl7_none,32.09,4.79,0.40,4.69,0.34,0.10
auxmag_7pct_sched0,cifar100,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,7,3500,3,36.96,0.57,47.07,0.21,3,yes,,abl7_none,32.09,4.87,0.51,4.82,0.33,0.04
auxrand_10pct_l30,cifar100,resnet18,sgd,200,linear,none,,,random-fixed,layer3,0.3,,10,5000,3,40.32,0.22,,,,yes,,abl10_none,40.28,0.04,0.22,,,
auxrand_1pct_l30,cifar100,resnet18,sgd,200,linear,none,,,random-fixed,layer3,0.3,,1,500,3,9.21,0.07,,,,yes,,abl1_none,8.95,0.26,0.05,,,
auxrand_1pct_sched2,cifar100,resnet18,sgd,200,linear,none,,,random-fixed,layer3,2.0,0.0,1,500,3,9.48,0.07,27.88,0.47,3,yes,,abl1_none,8.95,0.53,0.05,1.26,0.29,-0.73
auxrand_5pct_l30,cifar100,resnet18,sgd,200,linear,none,,,random-fixed,layer3,0.3,,5,2500,3,25.24,0.27,,,,yes,,abl5_none,25.36,-0.12,0.23,,,
auxrot_10pct_l30,cifar100,resnet18,sgd,200,linear,none,,,energy-rotinv,layer3,0.3,,10,5000,3,41.02,0.58,,,,yes,,abl10_none,40.28,0.74,0.38,,,
auxste_10pct_l30,cifar100,resnet18,sgd,200,linear,none,,,energy-steerable,layer3,0.3,,10,5000,3,41.19,0.53,,,,yes,,abl10_none,40.28,0.91,0.35,,,
auxstr_10pct_l30,cifar100,resnet18,sgd,200,linear,none,,,energy-structure,layer3,0.3,,10,5000,3,41.96,0.28,,,,yes,,abl10_none,40.28,1.68,0.24,,,
auxteach_10pct,cifar100,resnet18,sgd,200,linear,none,,,,layer3,0.3,,10,5000,3,40.34,0.15,,,,yes,,abl10_none,40.28,0.06,0.20,,,
auxteach_5pct,cifar100,resnet18,sgd,200,linear,none,,,,layer3,0.3,,5,2500,3,24.87,0.53,,,,yes,,abl5_none,25.36,-0.49,0.35,,,
c10_aux_100pct,cifar10,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,100,50000,3,95.01,0.15,95.02,0.20,3,yes,,c10_none_100pct,95.28,-0.26,0.18,,,
c10_aux_10pct,cifar10,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,10,5000,3,81.80,0.19,83.15,0.19,3,yes,,c10_none_10pct,80.71,1.09,0.57,0.61,0.32,0.48
c10_aux_10pct_l03,cifar10,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.3,0.0,10,5000,3,81.81,0.15,,,,yes,,c10_none_10pct,80.71,1.10,0.57,,,
c10_aux_15pct,cifar10,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,15,7500,3,84.99,0.18,,,,yes,,c10_none_15pct,85.65,-0.66,0.22,,,
c10_aux_15pct_l03,cifar10,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,0.3,0.0,15,7500,3,85.52,0.38,,,,yes,,c10_none_15pct,85.65,-0.13,0.29,,,
c10_aux_1pct,cifar10,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,1,500,10,45.51,0.38,58.61,0.33,10,yes,,c10_none_1pct,39.15,6.37,0.15,4.94,0.15,1.43
c10_aux_25pct,cifar10,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,25,12500,3,88.43,0.26,,,,yes,,c10_none_25pct,89.26,-0.83,0.20,,,
c10_aux_2pct,cifar10,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,2,1000,10,58.37,0.45,66.49,0.52,10,yes,,c10_none_2pct,51.71,6.66,0.27,5.52,0.23,1.14
c10_aux_3pct,cifar10,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,3,1500,3,65.51,0.27,,,,yes,,c10_none_3pct,60.13,5.38,0.65,,,
c10_aux_5pct,cifar10,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,5,2500,3,73.46,0.19,76.72,0.47,3,yes,,c10_none_5pct,69.05,4.41,0.15,4.04,0.31,0.37
c10_aux_7pct,cifar10,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,7,3500,3,77.43,0.31,,,,yes,,c10_none_7pct,75.22,2.21,0.42,,,
c10_none_100pct,cifar10,resnet18,sgd,200,linear,none,,,,,,,100,50000,3,95.28,0.28,,,,yes,,,,,,,,
c10_none_10pct,cifar10,resnet18,sgd,200,linear,none,,,,,,,10,5000,3,80.71,0.98,82.54,0.52,3,yes,,,,,,,,
c10_none_15pct,cifar10,resnet18,sgd,200,linear,none,,,,,,,15,7500,3,85.65,0.34,,,,yes,,,,,,,,
c10_none_1pct,cifar10,resnet18,sgd,200,linear,none,,,,,,,1,500,10,39.15,0.28,53.67,0.35,10,yes,,,,,,,,
c10_none_25pct,cifar10,resnet18,sgd,200,linear,none,,,,,,,25,12500,3,89.26,0.23,89.52,0.16,3,yes,,,,,,,,
c10_none_2pct,cifar10,resnet18,sgd,200,linear,none,,,,,,,2,1000,10,51.71,0.72,60.97,0.51,10,yes,,,,,,,,
c10_none_3pct,cifar10,resnet18,sgd,200,linear,none,,,,,,,3,1500,3,60.13,1.08,,,,yes,,,,,,,,
c10_none_5pct,cifar10,resnet18,sgd,200,linear,none,,,,,,,5,2500,3,69.05,0.17,72.69,0.25,3,yes,,,,,,,,
c10_none_7pct,cifar10,resnet18,sgd,200,linear,none,,,,,,,7,3500,3,75.22,0.66,78.14,0.78,3,yes,,,,,,,,
cnx_aux_10pct,cifar100,convnext_tiny,sgd,200,linear,none,,,energy-magnitude,stages.2,1.0,0.0,10,5000,3,0.92,0.14,,,,yes,,cnx_none_10pct,16.75,-15.83,0.77,,,
cnx_none_10pct,cifar100,convnext_tiny,sgd,200,linear,none,,,,,,,10,5000,3,16.75,1.32,,,,yes,,,,,,,,
combo_1pct,cifar100,resnet18,sgd,200,linear,energy-magnitude,,,energy-magnitude,layer3,2.0,0.0,1,500,3,10.64,0.38,,,,yes,,abl1_none,8.95,1.68,0.22,,,
combo_2pct,cifar100,resnet18,sgd,200,linear,energy-magnitude,,,energy-magnitude,layer3,2.0,0.0,2,1000,3,17.15,0.22,,,,yes,,abl2_none,14.17,2.98,0.15,,,
cub_aux_100pct,cub,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,100,5994,3,47.06,0.57,45.89,0.78,3,yes,,cub_none_100pct,44.32,2.74,0.51,2.99,0.63,-0.25
cub_aux_25pct,cub,resnet18,sgd,200,linear,none,,,energy-magnitude,layer3,1.0,0.0,25,1498,3,6.13,0.18,10.02,0.35,3,yes,,cub_none_25pct,5.57,0.56,0.13,0.83,0.32,-0.26
cub_none_100pct,cub,resnet18,sgd,200,linear,none,,,,,,,100,5994,3,44.32,0.68,42.90,0.77,3,yes,,,,,,,,
cub_none_25pct,cub,resnet18,sgd,200,linear,none,,,,,,,25,1498,3,5.57,0.14,9.19,0.42,3,yes,,,,,,,,
diag10e100_gaboronly_calib,cifar100,resnet18,sgd,100,linear,moments-cat,,,,,,,10,5000,3,37.25,0.29,46.47,0.41,3,no,,diag10e100_none,37.89,-0.64,0.41,,,
diag10e100_none,cifar100,resnet18,sgd,100,linear,none,,,,,,,10,5000,3,37.89,0.64,,,,no,,,,,,,,
diag10e400_gaboronly_calib,cifar100,resnet18,sgd,400,linear,moments-cat,,,,,,,10,5000,3,40.76,0.73,47.64,0.98,3,no,,diag10e400_none,42.77,-2.01,0.60,-2.09,0.65,0.08
diag10e400_none,cifar100,resnet18,sgd,400,linear,none,,,,,,,10,5000,3,42.77,0.73,49.73,0.56,3,no,,,,,,,,
diag10e800_gaboronly_calib,cifar100,resnet18,sgd,800,linear,moments-cat,,,,,,,10,5000,3,43.58,0.44,,,,no,,diag10e800_none,44.97,-1.39,0.35,,,
diag10e800_none,cifar100,resnet18,sgd,800,linear,none,,,,,,,10,5000,3,44.97,0.42,50.86,0.55,3,no,,,,,,,,
diag15e400_gaboronly_calib,cifar100,resnet18,sgd,400,linear,moments-cat,,,,,,,15,7500,3,50.50,1.07,,,,no,,diag15e400_none,52.08,-1.58,0.72,,,
diag15e400_none,cifar100,resnet18,sgd,400,linear,none,,,,,,,15,7500,3,52.08,0.65,,,,no,,,,,,,,
diagcnxadamw_aux_10pct,cifar100,convnext_tiny,adamw,200,linear,none,,,energy-magnitude,stages.2,1.0,0.0,10,5000,3,33.88,0.37,45.15,0.61,3,no,,diagcnxadamw_none_10pct,23.31,10.57,0.76,11.01,0.76,-0.44
diagcnxadamw_none_10pct,cifar100,convnext_tiny,adamw,200,linear,none,,,,,,,10,5000,3,23.31,1.26,34.14,1.17,3,no,,,,,,,,
