,,,,accuracy (test top-1 %),,,,,,,,,,,delta vs own baseline (pts),,,,,,,,,,,seeds,,,,,,,,,,,
BASELINE  [800ep],cifar100,resnet18,baseline,9.54,15.48,20.87,30.13,37.65,44.97,54.57,60.25,63.50,71.88,79.20,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,diaggrid_c100_r18_e800_5c8bbf_1pct diaggrid_c100_r18_e800_5c8bbf_2pct diaggrid_c100_r18_e800_5c8bbf_3pct diaggrid_c100_r18_e800_5c8bbf_5pct diaggrid_c100_r18_e800_5c8bbf_7pct diag10e800_none diaggrid_c100_r18_e800_5c8bbf_15pct diaggrid_c100_r18_e800_5c8bbf_20pct diaggrid_c100_r18_e800_5c8bbf_25pct diaggrid_c100_r18_e800_5c8bbf_50pct diaggrid_c100_r18_e800_5c8bbf_100pct
BASELINE  [86ep],cifar100,resnet18,baseline,,12.91,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,diagstep_c100_none_2pct
cosine-head,cifar100,resnet18,baseline,9.39,14.33,18.59,24.83,31.24,38.50,47.90,54.10,58.56,68.91,76.99,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,diagcos_c100_none_1pct diaggrid_c100_r18_cosinehead_2f17a9_2pct diaggrid_c100_r18_cosinehead_2f17a9_3pct diaggrid_c100_r18_cosinehead_2f17a9_5pct diaggrid_c100_r18_cosinehead_2f17a9_7pct diaggrid_c100_r18_cosinehead_2f17a9_10pct diaggrid_c100_r18_cosinehead_2f17a9_15pct diaggrid_c100_r18_cosinehead_2f17a9_20pct diaggrid_c100_r18_cosinehead_2f17a9_25pct diaggrid_c100_r18_cosinehead_2f17a9_50pct diaggrid_c100_r18_cosinehead_2f17a9_100pct
"aux(invariants@L3,L0.3)",cifar100,resnet18,variant,9.08,14.81,18.66,24.93,30.68,37.21,45.84,51.71,56.34,63.56,71.88,0.14,0.64,0.19,-0.43,-1.41,-3.07,-4.25,-5.29,-5.01,-8.23,-6.64,3,3,3,3,3,3,3,3,3,3,3,grid_c100_r18_axinvariantsL3_l03_e17c19_1pct grid_c100_r18_axinvariantsL3_l03_e17c19_2pct grid_c100_r18_axinvariantsL3_l03_e17c19_3pct grid_c100_r18_axinvariantsL3_l03_e17c19_5pct grid_c100_r18_axinvariantsL3_l03_e17c19_7pct auxinv_10pct_l30 grid_c100_r18_axinvariantsL3_l03_e17c19_15pct grid_c100_r18_axinvariantsL3_l03_e17c19_20pct grid_c100_r18_axinvariantsL3_l03_e17c19_25pct grid_c100_r18_axinvariantsL3_l03_e17c19_50pct grid_c100_r18_axinvariantsL3_l03_e17c19_100pct
"aux(magnitude3@L3,L1.0>0.0)",cifar100,resnet18,variant,10.25,16.65,21.85,30.55,36.62,43.63,52.70,58.00,61.93,71.62,78.30,1.32,2.48,3.38,5.19,4.52,3.35,2.61,1.00,0.58,-0.17,-0.22,3,3,3,3,3,3,3,3,3,3,3,grid_c100_r18_axmagnitude3L3_l10to00_1ab8e4_1pct grid_c100_r18_axmagnitude3L3_l10to00_1ab8e4_2pct grid_c100_r18_axmagnitude3L3_l10to00_1ab8e4_3pct auxmag3_c100_5pct grid_c100_r18_axmagnitude3L3_l10to00_1ab8e4_7pct grid_c100_r18_axmagnitude3L3_l10to00_1ab8e4_10pct grid_c100_r18_axmagnitude3L3_l10to00_1ab8e4_15pct grid_c100_r18_axmagnitude3L3_l10to00_1ab8e4_20pct grid_c100_r18_axmagnitude3L3_l10to00_1ab8e4_25pct grid_c100_r18_axmagnitude3L3_l10to00_1ab8e4_50pct grid_c100_r18_axmagnitude3L3_l10to00_1ab8e4_100pct
"aux(magnitude3@L3,L1.0>0.0,hn)",cifar100,resnet18,variant,10.44,16.88,22.27,30.82,37.48,44.25,52.46,57.99,61.35,71.28,78.05,1.51,2.70,3.80,5.45,5.39,3.97,2.37,0.99,0.00,-0.51,-0.47,3,3,3,3,3,3,3,3,3,3,3,grid_mag3_c100_1pct grid_mag3_c100_2pct grid_mag3_c100_3pct grid_mag3_c100_5pct grid_mag3_c100_7pct grid_mag3_c100_10pct grid_mag3_c100_15pct grid_mag3_c100_20pct grid_mag3_c100_25pct grid_mag3_c100_50pct grid_mag3_c100_100pct
"aux(magnitude6o@L3,L1.0>0.0,hn)",cifar100,resnet18,variant,10.18,16.71,22.29,31.36,37.87,45.27,53.42,58.24,62.29,71.27,78.21,1.25,2.54,3.82,6.00,5.77,4.99,3.33,1.24,0.94,-0.51,-0.31,3,3,3,3,3,3,3,3,3,3,3,grid_mag6o_c100_1pct grid_mag6o_c100_2pct grid_mag6o_c100_3pct grid_mag6o_c100_5pct grid_mag6o_c100_7pct grid_mag6o_c100_10pct grid_mag6o_c100_15pct grid_mag6o_c100_20pct grid_mag6o_c100_25pct grid_mag6o_c100_50pct grid_mag6o_c100_100pct
"aux(magnitude@L1,L2.0>0.0)",cifar100,resnet18,variant,10.77,17.37,22.22,30.09,35.37,42.37,50.57,56.97,60.79,70.25,77.61,1.84,3.20,3.75,4.73,3.28,2.09,0.48,-0.03,-0.56,-1.54,-0.90,3,3,3,3,3,3,3,3,3,3,3,auxmag_1pct_sched2_tap1 grid_c100_r18_axmagnitudeL1_l20to00_319207_2pct grid_c100_r18_axmagnitudeL1_l20to00_319207_3pct grid_c100_r18_axmagnitudeL1_l20to00_319207_5pct grid_c100_r18_axmagnitudeL1_l20to00_319207_7pct grid_c100_r18_axmagnitudeL1_l20to00_319207_10pct grid_c100_r18_axmagnitudeL1_l20to00_319207_15pct grid_c100_r18_axmagnitudeL1_l20to00_319207_20pct grid_c100_r18_axmagnitudeL1_l20to00_319207_25pct grid_c100_r18_axmagnitudeL1_l20to00_319207_50pct grid_c100_r18_axmagnitudeL1_l20to00_319207_100pct
"aux(magnitude@L2,L0.3)",cifar100,resnet18,variant,9.91,16.01,20.82,28.56,35.52,43.01,52.24,58.05,61.71,71.52,78.18,0.97,1.84,2.35,3.20,3.42,2.73,2.15,1.05,0.36,-0.27,-0.34,3,3,3,3,3,3,3,3,3,3,3,grid_c100_r18_axmagnitudeL2_l03_699ce0_1pct grid_c100_r18_axmagnitudeL2_l03_699ce0_2pct grid_c100_r18_axmagnitudeL2_l03_699ce0_3pct grid_c100_r18_axmagnitudeL2_l03_699ce0_5pct grid_c100_r18_axmagnitudeL2_l03_699ce0_7pct auxmag_10pct_l30_tap2 grid_c100_r18_axmagnitudeL2_l03_699ce0_15pct grid_c100_r18_axmagnitudeL2_l03_699ce0_20pct grid_c100_r18_axmagnitudeL2_l03_699ce0_25pct grid_c100_r18_axmagnitudeL2_l03_699ce0_50pct grid_c100_r18_axmagnitudeL2_l03_699ce0_100pct
"aux(magnitude@L2,L2.0>0.0)",cifar100,resnet18,variant,10.55,17.13,22.15,30.00,35.76,42.60,51.12,56.47,60.48,70.59,78.10,1.62,2.95,3.68,4.64,3.66,2.32,1.03,-0.53,-0.87,-1.20,-0.42,3,3,3,3,3,3,3,3,3,3,3,auxmag_1pct_sched2_tap2 grid_c100_r18_axmagnitudeL2_l20to00_101ce2_2pct grid_c100_r18_axmagnitudeL2_l20to00_101ce2_3pct grid_c100_r18_axmagnitudeL2_l20to00_101ce2_5pct grid_c100_r18_axmagnitudeL2_l20to00_101ce2_7pct grid_c100_r18_axmagnitudeL2_l20to00_101ce2_10pct grid_c100_r18_axmagnitudeL2_l20to00_101ce2_15pct grid_c100_r18_axmagnitudeL2_l20to00_101ce2_20pct grid_c100_r18_axmagnitudeL2_l20to00_101ce2_25pct grid_c100_r18_axmagnitudeL2_l20to00_101ce2_50pct grid_c100_r18_axmagnitudeL2_l20to00_101ce2_100pct
"aux(magnitude@L3,L0.02)",cifar100,resnet18,variant,9.06,14.43,18.79,25.77,32.91,40.90,50.11,56.82,60.79,71.40,78.41,0.12,0.26,0.32,0.41,0.82,0.62,0.02,-0.18,-0.56,-0.38,-0.11,3,3,3,3,3,3,3,3,3,3,3,grid_c100_r18_axmagnitudeL3_l002_e831ac_1pct grid_c100_r18_axmagnitudeL3_l002_e831ac_2pct grid_c100_r18_axmagnitudeL3_l002_e831ac_3pct grid_c100_r18_axmagnitudeL3_l002_e831ac_5pct grid_c100_r18_axmagnitudeL3_l002_e831ac_7pct grid_c100_r18_axmagnitudeL3_l002_e831ac_10pct grid_c100_r18_axmagnitudeL3_l002_e831ac_15pct grid_c100_r18_axmagnitudeL3_l002_e831ac_20pct auxmag_25pct_l02 grid_c100_r18_axmagnitudeL3_l002_e831ac_50pct grid_c100_r18_axmagnitudeL3_l002_e831ac_100pct
"aux(magnitude@L3,L0.05)",cifar100,resnet18,variant,9.28,14.57,19.10,25.87,32.72,41.13,50.40,56.99,61.37,71.41,78.47,0.34,0.39,0.63,0.51,0.62,0.85,0.31,-0.01,0.02,-0.38,-0.05,3,3,3,3,3,3,3,3,3,3,3,grid_c100_r18_axmagnitudeL3_l005_2133c7_1pct grid_c100_r18_axmagnitudeL3_l005_2133c7_2pct grid_c100_r18_axmagnitudeL3_l005_2133c7_3pct grid_c100_r18_axmagnitudeL3_l005_2133c7_5pct grid_c100_r18_axmagnitudeL3_l005_2133c7_7pct auxmag_10pct_l05 grid_c100_r18_axmagnitudeL3_l005_2133c7_15pct grid_c100_r18_axmagnitudeL3_l005_2133c7_20pct auxmag_25pct_l05 grid_c100_r18_axmagnitudeL3_l005_2133c7_50pct auxmag_100pct_l05
"aux(magnitude@L3,L0.05>0.0,hn)",cifar100,resnet18,variant,,,,,47.68,,,,,,,,,,,0.21,,,,,,,,,,,10,,,,,,,diagtaxlam_c100_l005_7pct
"aux(magnitude@L3,L0.1)",cifar100,resnet18,variant,9.38,14.60,19.59,26.72,33.91,41.65,51.03,57.30,61.95,71.32,78.57,0.45,0.43,1.12,1.35,1.81,1.37,0.94,0.30,0.60,-0.47,0.05,3,3,3,3,3,3,3,3,3,3,3,grid_c100_r18_axmagnitudeL3_l01_e02b2d_1pct grid_c100_r18_axmagnitudeL3_l01_e02b2d_2pct grid_c100_r18_axmagnitudeL3_l01_e02b2d_3pct auxmag_5pct_l10 grid_c100_r18_axmagnitudeL3_l01_e02b2d_7pct auxmag_10pct_l10 grid_c100_r18_axmagnitudeL3_l01_e02b2d_15pct grid_c100_r18_axmagnitudeL3_l01_e02b2d_20pct auxmag_25pct_l10 grid_c100_r18_axmagnitudeL3_l01_e02b2d_50pct auxmag_100pct_l10
"aux(magnitude@L3,L0.1>0.0)",cifar100,resnet18,variant,9.34,14.66,19.15,26.90,33.91,41.67,51.42,57.79,62.20,71.56,78.67,0.41,0.48,0.68,1.54,1.81,1.39,1.33,0.79,0.85,-0.23,0.15,3,3,3,3,3,3,3,3,3,3,3,grid_c100_r18_axmagnitudeL3_l01to00_266981_1pct grid_c100_r18_axmagnitudeL3_l01to00_266981_2pct grid_c100_r18_axmagnitudeL3_l01to00_266981_3pct grid_c100_r18_axmagnitudeL3_l01to00_266981_5pct grid_c100_r18_axmagnitudeL3_l01to00_266981_7pct grid_c100_r18_axmagnitudeL3_l01to00_266981_10pct grid_c100_r18_axmagnitudeL3_l01to00_266981_15pct grid_c100_r18_axmagnitudeL3_l01to00_266981_20pct grid_c100_r18_axmagnitudeL3_l01to00_266981_25pct grid_c100_r18_axmagnitudeL3_l01to00_266981_50pct auxmag_100pct_sched01
"aux(magnitude@L3,L0.1>0.0,hn)",cifar100,resnet18,variant,,,,,48.00,,,,,,,,,,,0.53,,,,,,,,,,,10,,,,,,,diagtaxlam_c100_l01_7pct
"aux(magnitude@L3,L0.3)",cifar100,resnet18,variant,9.71,15.30,20.23,28.54,35.28,42.99,52.33,57.30,61.72,71.32,78.43,0.77,1.13,1.76,3.18,3.19,2.71,2.24,0.30,0.37,-0.46,-0.09,3,3,3,3,3,3,3,3,3,3,3,auxmag_1pct_l30 auxmag_2pct_l30 auxmag_3pct_l30 auxmag_5pct_l30 auxmag_7pct_l30 auxmag_10pct_l30 auxmag_15pct_l30 grid_c100_r18_axmagnitudeL3_l03_f0bd42_20pct auxmag_25pct_l30 grid_c100_r18_axmagnitudeL3_l03_f0bd42_50pct auxmag_100pct_l30
"aux(magnitude@L3,L0.3,cosine)",cifar100,resnet18,variant,8.99,14.16,18.75,25.98,33.01,40.64,50.46,56.62,61.37,71.34,78.61,0.06,-0.01,0.28,0.62,0.92,0.36,0.37,-0.38,0.02,-0.44,0.10,3,3,3,3,3,3,3,3,3,3,3,grid_c100_r18_axmagnitudeL3_l03_cosine_8fc914_1pct auxmag_2pct_cos grid_c100_r18_axmagnitudeL3_l03_cosine_8fc914_3pct grid_c100_r18_axmagnitudeL3_l03_cosine_8fc914_5pct grid_c100_r18_axmagnitudeL3_l03_cosine_8fc914_7pct auxmag_10pct_cos grid_c100_r18_axmagnitudeL3_l03_cosine_8fc914_15pct grid_c100_r18_axmagnitudeL3_l03_cosine_8fc914_20pct grid_c100_r18_axmagnitudeL3_l03_cosine_8fc914_25pct grid_c100_r18_axmagnitudeL3_l03_cosine_8fc914_50pct grid_c100_r18_axmagnitudeL3_l03_cosine_8fc914_100pct
"aux(magnitude@L3,L0.3>0.0)",cifar100,resnet18,variant,9.58,15.20,19.93,28.61,36.17,43.47,53.03,58.49,62.23,71.98,78.62,0.65,1.02,1.46,3.25,4.07,3.19,2.94,1.49,0.88,0.19,0.11,3,3,3,3,3,3,3,3,3,3,3,grid_c100_r18_axmagnitudeL3_l03to00_0ca5ff_1pct grid_c100_r18_axmagnitudeL3_l03to00_0ca5ff_2pct grid_c100_r18_axmagnitudeL3_l03to00_0ca5ff_3pct grid_c100_r18_axmagnitudeL3_l03to00_0ca5ff_5pct grid_c100_r18_axmagnitudeL3_l03to00_0ca5ff_7pct grid_c100_r18_axmagnitudeL3_l03to00_0ca5ff_10pct auxmag_15pct_sched03 grid_c100_r18_axmagnitudeL3_l03to00_0ca5ff_20pct auxmag_25pct_sched03 grid_c100_r18_axmagnitudeL3_l03to00_0ca5ff_50pct auxmag_100pct_sched03
"aux(magnitude@L3,L0.3>0.0,hn)",cifar100,resnet18,variant,,,,,48.98,,,,,,,,,,,1.50,,,,,,,,,,,10,,,,,,,diagtaxlam_c100_l03_7pct
"aux(magnitude@L3,L0.5)",cifar100,resnet18,variant,9.92,16.30,20.83,29.59,36.12,43.51,52.53,58.12,61.53,71.47,78.07,0.99,2.13,2.36,4.23,4.03,3.23,2.44,1.12,0.18,-0.32,-0.45,3,3,3,3,3,3,3,3,3,3,3,grid_c100_r18_axmagnitudeL3_l05_86a99d_1pct auxmag_2pct_l50 grid_c100_r18_axmagnitudeL3_l05_86a99d_3pct grid_c100_r18_axmagnitudeL3_l05_86a99d_5pct grid_c100_r18_axmagnitudeL3_l05_86a99d_7pct auxmag_10pct_l50 grid_c100_r18_axmagnitudeL3_l05_86a99d_15pct grid_c100_r18_axmagnitudeL3_l05_86a99d_20pct grid_c100_r18_axmagnitudeL3_l05_86a99d_25pct grid_c100_r18_axmagnitudeL3_l05_86a99d_50pct auxmag_100pct_l50
"aux(magnitude@L3,L1.0)",cifar100,resnet18,variant,10.51,16.80,22.02,30.58,36.47,43.35,52.23,57.17,61.50,70.99,78.09,1.57,2.63,3.55,5.22,4.38,3.07,2.14,0.17,0.15,-0.80,-0.43,3,3,3,3,3,3,3,3,3,3,3,grid_c100_r18_axmagnitudeL3_l10_270a59_1pct auxmag_2pct_l100 grid_c100_r18_axmagnitudeL3_l10_270a59_3pct grid_c100_r18_axmagnitudeL3_l10_270a59_5pct grid_c100_r18_axmagnitudeL3_l10_270a59_7pct auxmag_10pct_l100 grid_c100_r18_axmagnitudeL3_l10_270a59_15pct grid_c100_r18_axmagnitudeL3_l10_270a59_20pct grid_c100_r18_axmagnitudeL3_l10_270a59_25pct grid_c100_r18_axmagnitudeL3_l10_270a59_50pct auxmag_100pct_l100
"aux(magnitude@L3,L1.0>0.0)",cifar100,resnet18,variant,10.35,16.67,22.15,30.51,36.96,44.03,52.64,57.62,61.51,71.14,78.51,1.42,2.50,3.68,5.15,4.87,3.75,2.55,0.62,0.16,-0.64,-0.01,10,3,3,10,3,10,3,3,3,3,3,auxmag_1pct_sched0 auxmag_2pct_sched0 auxmag_3pct_sched0 auxmag_5pct_sched0 auxmag_7pct_sched0 auxmag_10pct_sched0 auxmag_15pct_sched0 grid_c100_r18_axmagnitudeL3_l10to00_b0bf76_20pct auxmag_25pct_sched0 grid_c100_r18_axmagnitudeL3_l10to00_b0bf76_50pct auxmag_100pct_sched0
"aux(magnitude@L3,L1.0>0.0)  [15ep]",cifar100,resnet18,variant,,,,,,24.65,,,,,,,,,,,6.30,,,,,,,,,,,3,,,,,,diagstep_c100_aux_10pct
"aux(magnitude@L3,L1.0>0.0)  [32ep]",cifar100,resnet18,variant,,,,23.26,,,,,,,,,,,5.78,,,,,,,,,,,3,,,,,,,,diagstep_c100_aux_5pct
"aux(magnitude@L3,L1.0>0.0)  [6ep]",cifar100,resnet18,variant,,,,,,,,,26.01,,,,,,,,,,,5.92,,,,,,,,,,,3,,,diagstep_c100_aux_25pct
"aux(magnitude@L3,L1.0>0.0)  [86ep]",cifar100,resnet18,variant,,15.21,,,,,,,,,,,2.29,,,,,,,,,,,3,,,,,,,,,,diagstep_c100_aux_2pct
"aux(magnitude@L3,L1.0>0.0) + cosine-head",cifar100,resnet18,variant,10.99,17.40,22.11,30.22,36.07,42.40,49.82,55.52,59.20,69.08,76.83,1.60,3.07,3.53,5.40,4.83,3.91,1.92,1.42,0.64,0.17,-0.17,3,3,3,3,3,3,3,3,3,3,3,diagcos_c100_aux_1pct diaggrid_c100_r18_axmagnitudeL3_l10to00_cosinehead_d1f3e0_2pct diaggrid_c100_r18_axmagnitudeL3_l10to00_cosinehead_d1f3e0_3pct diaggrid_c100_r18_axmagnitudeL3_l10to00_cosinehead_d1f3e0_5pct diaggrid_c100_r18_axmagnitudeL3_l10to00_cosinehead_d1f3e0_7pct diaggrid_c100_r18_axmagnitudeL3_l10to00_cosinehead_d1f3e0_10pct diaggrid_c100_r18_axmagnitudeL3_l10to00_cosinehead_d1f3e0_15pct diaggrid_c100_r18_axmagnitudeL3_l10to00_cosinehead_d1f3e0_20pct diaggrid_c100_r18_axmagnitudeL3_l10to00_cosinehead_d1f3e0_25pct diaggrid_c100_r18_axmagnitudeL3_l10to00_cosinehead_d1f3e0_50pct diaggrid_c100_r18_axmagnitudeL3_l10to00_cosinehead_d1f3e0_100pct
"aux(magnitude@L3,L1.0>0.0) + simclr-init",cifar100,resnet18,variant,11.61,19.35,24.38,32.90,40.01,47.51,55.50,58.95,62.58,71.35,78.22,2.68,5.18,5.91,7.53,7.91,7.23,5.41,1.95,1.23,-0.43,-0.29,3,3,3,3,3,3,3,3,3,3,3,diaggrid_c100_r18_axmagnitudeL3_l10to00_ssl_142df0_1pct diaggrid_c100_r18_axmagnitudeL3_l10to00_ssl_142df0_2pct diaggrid_c100_r18_axmagnitudeL3_l10to00_ssl_142df0_3pct diagssl_simclraux_5pct diaggrid_c100_r18_axmagnitudeL3_l10to00_ssl_142df0_7pct diaggrid_c100_r18_axmagnitudeL3_l10to00_ssl_142df0_10pct diaggrid_c100_r18_axmagnitudeL3_l10to00_ssl_142df0_15pct diaggrid_c100_r18_axmagnitudeL3_l10to00_ssl_142df0_20pct diaggrid_c100_r18_axmagnitudeL3_l10to00_ssl_142df0_25pct diaggrid_c100_r18_axmagnitudeL3_l10to00_ssl_142df0_50pct diaggrid_c100_r18_axmagnitudeL3_l10to00_ssl_142df0_100pct
"aux(magnitude@L3,L1.0>0.0,hn)",cifar100,resnet18,variant,,,,,47.17,,,,,,,,,,,-0.31,,,,,,,,,,,10,,,,,,,diagtaxlam_c100_delay_7pct
"aux(magnitude@L3,L1.0>0.0,hn)",cifar100,resnet18,variant,7.46,11.21,15.40,25.03,30.63,40.10,50.23,57.75,62.02,72.76,79.11,-5.11,-8.02,-11.20,-14.52,-16.84,-18.18,-15.22,-10.36,-7.81,-2.09,-0.69,3,3,3,3,10,3,3,3,3,3,3,diagtransfer2_c100_aux_1pct diagtransfer2_c100_aux_2pct diagtransfer2_c100_aux_3pct diagtransfer_c100_aux_5pct diagtransfer2_c100_aux_7pct diagtransfer2_c100_aux_10pct diagtransfer2_c100_aux_15pct diagtransfer2_c100_aux_20pct diagtransfer2_c100_aux_25pct diagtransfer2_c100_aux_50pct diagtransfer2_c100_aux_100pct
"aux(magnitude@L3,L1.0>0.0,hn)",cifar100,resnet18,variant,10.22,17.14,22.26,30.88,37.29,44.45,53.14,58.57,62.17,71.20,78.44,1.28,2.96,3.79,5.51,5.20,4.17,3.05,1.57,0.82,-0.59,-0.08,3,3,3,3,3,6,3,3,3,3,3,grid_c100_r18_axmagnitudeL3_l10to00_hn_d94ac5_1pct grid_c100_r18_axmagnitudeL3_l10to00_hn_d94ac5_2pct grid_c100_r18_axmagnitudeL3_l10to00_hn_d94ac5_3pct grid_c100_r18_axmagnitudeL3_l10to00_hn_d94ac5_5pct grid_c100_r18_axmagnitudeL3_l10to00_hn_d94ac5_7pct r18_aux_10pct_hn grid_c100_r18_axmagnitudeL3_l10to00_hn_d94ac5_15pct grid_c100_r18_axmagnitudeL3_l10to00_hn_d94ac5_20pct grid_c100_r18_axmagnitudeL3_l10to00_hn_d94ac5_25pct grid_c100_r18_axmagnitudeL3_l10to00_hn_d94ac5_50pct grid_c100_r18_axmagnitudeL3_l10to00_hn_d94ac5_100pct
"aux(magnitude@L3,L1.0>0.0,hn) + simclr-init",cifar100,resnet18,variant,,,,,,47.12,,,62.27,,,,,,,,6.84,,,0.92,,,,,,,,3,,,3,,,diagprosp_simclraux_c100_10pct diagprosp_simclraux_c100_25pct
"aux(magnitude@L3,L1.0>0.0,hn) + simsiam-init",cifar100,resnet18,variant,,,,31.65,,45.18,,,,,,,,,6.29,,4.90,,,,,,,,,3,,3,,,,,,diaggrid_simsiamaux_c100_5pct diaggrid_simsiamaux_c100_10pct
"aux(magnitude@L3,L1.0>0.1)",cifar100,resnet18,variant,10.43,16.58,22.27,30.54,36.88,43.82,52.32,57.92,61.79,71.24,78.24,1.50,2.41,3.80,5.17,4.79,3.54,2.23,0.92,0.44,-0.55,-0.27,3,3,3,3,3,3,3,3,3,3,3,auxmag_1pct_sched auxmag_2pct_sched auxmag_3pct_sched auxmag_5pct_sched auxmag_7pct_sched auxmag_10pct_sched auxmag_15pct_sched grid_c100_r18_axmagnitudeL3_l10to01_8fc310_20pct auxmag_25pct_sched grid_c100_r18_axmagnitudeL3_l10to01_8fc310_50pct auxmag_100pct_sched
"aux(magnitude@L3,L2.0)",cifar100,resnet18,variant,10.89,17.43,22.65,31.00,36.52,43.73,51.67,57.08,60.66,70.48,77.61,1.96,3.26,4.18,5.64,4.43,3.45,1.58,0.08,-0.69,-1.31,-0.90,3,3,3,3,3,3,3,3,3,3,3,grid_c100_r18_axmagnitudeL3_l20_017c1a_1pct auxmag_2pct_l200 grid_c100_r18_axmagnitudeL3_l20_017c1a_3pct grid_c100_r18_axmagnitudeL3_l20_017c1a_5pct grid_c100_r18_axmagnitudeL3_l20_017c1a_7pct grid_c100_r18_axmagnitudeL3_l20_017c1a_10pct grid_c100_r18_axmagnitudeL3_l20_017c1a_15pct grid_c100_r18_axmagnitudeL3_l20_017c1a_20pct grid_c100_r18_axmagnitudeL3_l20_017c1a_25pct grid_c100_r18_axmagnitudeL3_l20_017c1a_50pct grid_c100_r18_axmagnitudeL3_l20_017c1a_100pct
"aux(magnitude@L3,L2.0>0.0)",cifar100,resnet18,variant,10.81,17.31,22.79,31.13,36.90,44.00,52.38,57.06,61.20,70.67,77.69,1.87,3.14,4.32,5.77,4.81,3.72,2.29,0.06,-0.15,-1.12,-0.83,3,3,3,3,3,3,3,3,3,3,3,auxmag_1pct_sched2 auxmag_2pct_sched2 grid_c100_r18_axmagnitudeL3_l20to00_461755_3pct grid_c100_r18_axmagnitudeL3_l20to00_461755_5pct grid_c100_r18_axmagnitudeL3_l20to00_461755_7pct grid_c100_r18_axmagnitudeL3_l20to00_461755_10pct grid_c100_r18_axmagnitudeL3_l20to00_461755_15pct grid_c100_r18_axmagnitudeL3_l20to00_461755_20pct grid_c100_r18_axmagnitudeL3_l20to00_461755_25pct grid_c100_r18_axmagnitudeL3_l20to00_461755_50pct grid_c100_r18_axmagnitudeL3_l20to00_461755_100pct
"aux(magnitude@L3,L2.0>0.0,fwd-stem) + stem(energy-magnitude,k11)",cifar100,resnet18,variant,10.64,17.15,22.16,30.43,36.41,43.34,51.68,56.99,60.75,70.47,78.01,1.70,2.98,3.69,5.06,4.31,3.06,1.59,-0.01,-0.60,-1.32,-0.51,3,3,3,3,3,3,3,3,3,3,3,combo_1pct combo_2pct grid_c100_r18_stenergymagnitudek11_axmagnitudeL3_l20to00_fwd_d64000_3pct grid_c100_r18_stenergymagnitudek11_axmagnitudeL3_l20to00_fwd_d64000_5pct grid_c100_r18_stenergymagnitudek11_axmagnitudeL3_l20to00_fwd_d64000_7pct grid_c100_r18_stenergymagnitudek11_axmagnitudeL3_l20to00_fwd_d64000_10pct grid_c100_r18_stenergymagnitudek11_axmagnitudeL3_l20to00_fwd_d64000_15pct grid_c100_r18_stenergymagnitudek11_axmagnitudeL3_l20to00_fwd_d64000_20pct grid_c100_r18_stenergymagnitudek11_axmagnitudeL3_l20to00_fwd_d64000_25pct grid_c100_r18_stenergymagnitudek11_axmagnitudeL3_l20to00_fwd_d64000_50pct grid_c100_r18_stenergymagnitudek11_axmagnitudeL3_l20to00_fwd_d64000_100pct
"aux(magnitude@L4,L0.3)",cifar100,resnet18,variant,9.35,14.94,19.57,26.73,33.30,41.10,51.50,57.30,61.49,71.06,78.55,0.42,0.76,1.10,1.37,1.21,0.82,1.41,0.30,0.14,-0.73,0.03,3,3,3,3,3,3,3,3,3,3,3,grid_c100_r18_axmagnitudeL4_l03_27e91e_1pct grid_c100_r18_axmagnitudeL4_l03_27e91e_2pct grid_c100_r18_axmagnitudeL4_l03_27e91e_3pct grid_c100_r18_axmagnitudeL4_l03_27e91e_5pct grid_c100_r18_axmagnitudeL4_l03_27e91e_7pct auxmag_10pct_l30_tap4 grid_c100_r18_axmagnitudeL4_l03_27e91e_15pct grid_c100_r18_axmagnitudeL4_l03_27e91e_20pct grid_c100_r18_axmagnitudeL4_l03_27e91e_25pct grid_c100_r18_axmagnitudeL4_l03_27e91e_50pct grid_c100_r18_axmagnitudeL4_l03_27e91e_100pct
"aux(magnitude@['L2', 'L3', 'L4'],L0.3)",cifar100,resnet18,variant,9.61,15.46,20.41,28.43,35.20,43.03,52.01,57.49,61.58,71.38,78.43,0.67,1.28,1.94,3.06,3.10,2.75,1.92,0.49,0.23,-0.41,-0.09,3,3,3,3,3,3,3,3,3,3,3,grid_c100_r18_axmagnitudeL2L3L4_l03_6928d7_1pct grid_c100_r18_axmagnitudeL2L3L4_l03_6928d7_2pct grid_c100_r18_axmagnitudeL2L3L4_l03_6928d7_3pct grid_c100_r18_axmagnitudeL2L3L4_l03_6928d7_5pct grid_c100_r18_axmagnitudeL2L3L4_l03_6928d7_7pct auxmag_10pct_l30_tap234 grid_c100_r18_axmagnitudeL2L3L4_l03_6928d7_15pct grid_c100_r18_axmagnitudeL2L3L4_l03_6928d7_20pct grid_c100_r18_axmagnitudeL2L3L4_l03_6928d7_25pct grid_c100_r18_axmagnitudeL2L3L4_l03_6928d7_50pct grid_c100_r18_axmagnitudeL2L3L4_l03_6928d7_100pct
